Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,5
19,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
21,[ _collection_elements ],[185],FOUND,4
22,string_start string_content string_end,[217],FOUND,3
23,_string_content,"[217, 1691]",FOUND,1
32,string_end,"[1691, 1807, 1692]",FOUND,2
33,", expression","[1807, 1692, 1115, 969, 869, 1683, 2593]",FOUND,6
35,string_start string_content string_end,"[322, 2593]",FOUND,2
36,_string_content,"[322, 2593, 1710]",FOUND,1
49,string_end,"[1710, 1807, 1711]",FOUND,2
50,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2451, 2593]",FOUND,1
52,string_start string_content string_end,"[332, 2593]",FOUND,2
53,_string_content,"[332, 2593, 1710]",FOUND,2
65,string_end,"[1710, 1807, 1711]",FOUND,2
66,],"[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,4
69,for pattern in expression : _indent block,"[649, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,58
73,identifier,[795],FOUND,1
91,in expression : _indent block,"[1610, 1620, 2412]",FOUND,1
94,identifier,[474],FOUND,1
112,: _indent block,"[1181, 962, 1851, 2653]",FOUND,21
118,if expression : _indent block else_clause,"[13, 99, 704, 71, 69, 2695]",FOUND,21
121,identifier,[601],FOUND,1
139,== primary_expression,"[1181, 962, 2078, 2653]",FOUND,5
142,string_start string_content string_end,[936],FOUND,2
143,_string_content,"[936, 1682]",FOUND,1
156,string_end,"[1682, 1807, 1684]",FOUND,2
157,: _indent block else_clause,"[1807, 1684, 1277, 1017, 1046, 1566, 1750, 2078]",FOUND,4
167,_indent block else_clause,"[65, 651, 620, 68, 111, 621]",FOUND,8
172,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
173,string_start string_content string_end,"[290, 240]",FOUND,2
174,_string_content,"[290, 240, 1677]",FOUND,2
219,string_end,"[1677, 1807, 1678]",FOUND,2
220,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
226,else : _indent block,"[633, 620, 68, 639, 73, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,17
230,: _indent block,[2684],FOUND,1
240,_indent block,"[45, 651, 721, 814, 68, 124, 718]",FOUND,5
245,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
246,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
248,_string_content,"[290, 240, 1677]",FOUND,2
255,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
256,identifier,[227],FOUND,1
273,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
274,_string_content,"[1933, 1726, 1678]",FOUND,3
275,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
276,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
279,print,"[632, 712, 71, 69, 2695, 639, 73, 1116, 1085, 859, 1817, 2336, 633, 721, 814, 68, 1084, 1101, 963, 1836]",FOUND,49
284,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
285,string_start string_content string_end,"[290, 240]",FOUND,2
286,escape_sequence _string_content,"[290, 240, 1677]",FOUND,17
288,_string_content,"[1807, 1678]",FOUND,2
315,string_end,"[1807, 1678, 1830]",FOUND,1
316,),"[1830, 1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
