Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,5
4,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
6,integer,[185],FOUND,3
9,if expression : _indent block,"[649, 69, 2695, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,27
12,identifier,[491],FOUND,1
16,>= primary_expression,"[1181, 962, 2112, 2653]",FOUND,16
19,integer,[936],FOUND,4
21,: _indent block,"[1348, 1046, 1566, 1750, 2112]",FOUND,2
27,_indent block,"[4, 97, 613, 71, 69, 2695]",FOUND,13
32,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
33,string_start string_content string_end,"[290, 240]",FOUND,2
34,_string_content,"[290, 240, 1677]",FOUND,2
61,string_end,"[1677, 1807, 1678]",FOUND,2
62,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
