Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,6
4,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
6,integer,[185],FOUND,3
9,if expression : _indent block else_clause,"[649, 69, 2695, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,40
12,identifier,[491],FOUND,1
16,>= primary_expression,"[1181, 962, 2112, 2653]",FOUND,16
19,integer,[936],FOUND,4
21,: _indent block else_clause,"[1348, 1046, 1566, 1750, 2112]",FOUND,4
27,_indent block else_clause,"[4, 97, 613, 71, 69, 2695]",FOUND,21
32,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
33,string_start string_content string_end,"[290, 240]",FOUND,2
34,_string_content,"[290, 240, 1677]",FOUND,2
61,string_end,"[1677, 1807, 1678]",FOUND,2
62,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
68,print,"[639, 68, 1116, 1085, 859, 1817, 2336]",FOUND,39
73,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
74,string_start string_content string_end,"[290, 240]",FOUND,2
75,_string_content,"[290, 240, 1677]",FOUND,2
107,string_end,"[1677, 1807, 1678]",FOUND,2
108,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
110,else : _indent block,"[632, 615, 71, 69, 2695, 639, 72, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,64
114,: _indent block,[2602],FOUND,1
120,_indent block,"[14, 648, 719, 766, 71, 69, 2695, 101, 720]",FOUND,20
125,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
126,string_start string_content string_end,"[290, 240]",FOUND,2
127,_string_content,"[290, 240, 1677]",FOUND,2
160,string_end,"[1677, 1807, 1678]",FOUND,2
161,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
167,print,"[639, 68, 1116, 1085, 859, 1817, 2336]",FOUND,39
172,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
173,string_start string_content string_end,"[290, 240]",FOUND,2
174,_string_content,"[290, 240, 1677]",FOUND,2
221,string_end,"[1677, 1807, 1678]",FOUND,2
222,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
