Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,5
6,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
8,"{ pair dictionary_repeat1 , }",[185],FOUND,16
14,string_start string_content string_end,[186],FOUND,1
15,_string_content,"[186, 1675]",FOUND,1
24,string_end,"[1675, 1807, 1698]",FOUND,2
25,: expression,"[1807, 1698, 1139, 973, 935, 1669, 2669]",FOUND,2
27,"{ pair dictionary_repeat1 , }",[487],FOUND,3
37,string_start string_content string_end,[203],FOUND,1
38,_string_content,"[203, 1675]",FOUND,1
43,string_end,"[1675, 1807, 1698]",FOUND,2
44,: expression,"[1807, 1698, 1139, 973, 935, 1671, 2710]",FOUND,2
46,string_start string_content string_end,[487],FOUND,1
47,_string_content,"[487, 1675]",FOUND,1
53,string_end,"[1675, 1807, 1698]",FOUND,2
54,", pair","[1807, 1698, 1139, 973, 935, 1831, 1849]",FOUND,2
64,string_start string_content string_end,[356],FOUND,1
65,_string_content,"[356, 1682]",FOUND,1
69,string_end,"[1682, 1807, 1684]",FOUND,2
70,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
72,string_start string_content string_end,[549],FOUND,1
73,_string_content,"[549, 1701]",FOUND,1
81,string_end,"[1701, 1807, 1702]",FOUND,2
82,", pair","[1807, 1702, 1057, 981, 942, 1943, 2580, 2344]",FOUND,4
92,string_start string_content string_end,[360],FOUND,1
93,_string_content,"[360, 1682]",FOUND,1
101,string_end,"[1682, 1807, 1684]",FOUND,2
102,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
104,string_start string_content string_end,[549],FOUND,1
105,_string_content,"[549, 1701]",FOUND,1
114,string_end,"[1701, 1807, 1702]",FOUND,2
115,", }","[1807, 1702, 1057, 981, 942, 1943, 2580, 2481, 2344]",FOUND,5
125,},[360],FOUND,2
126,", pair","[1254, 1206, 935, 1831, 1847]",FOUND,2
133,string_start string_content string_end,[344],FOUND,1
134,_string_content,"[344, 1682]",FOUND,1
140,string_end,"[1682, 1807, 1684]",FOUND,2
141,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
