Location,Ground_Truth,State_List,Coverage_Result,Rank
41,identifier,"[1, 2695]",FOUND,5
48,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
50,[ ],[185],FOUND,7
51,],[217],FOUND,1
53,for_statement,"[649, 69, 2695, 631, 1085, 963, 1791, 2570, 2591, 2460, 1634, 1648]",FOUND,114
78,for pattern in expression : _indent block,"[631, 1085, 963, 1791, 2570, 2591, 2460, 1634, 1648, 649, 69, 2695]",FOUND,59
82,identifier,[795],FOUND,1
95,in expression : _indent block,"[1610, 1620, 2412]",FOUND,1
98,identifier,[474],FOUND,1
103,( expression ),"[1181, 962, 1851, 2653]",FOUND,3
104,integer,[246],FOUND,4
106,),"[1334, 959, 1686]",FOUND,4
107,: _indent block,"[1311, 1405, 1348, 962, 1851]",FOUND,21
113,identifier,"[13, 99, 704, 71, 69, 2695]",FOUND,1
123,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
125,{ pair dictionary_repeat1 },[185],FOUND,18
126,string_start string_content string_end,[186],FOUND,1
127,_string_content,"[186, 1675]",FOUND,1
132,string_end,"[1675, 1807, 1698]",FOUND,2
133,: expression,"[1807, 1698, 1139, 973, 935, 1669, 2669]",FOUND,2
135,string_start string_content string_end,[487],FOUND,1
136,_string_content,"[487, 1675]",FOUND,1
141,string_end,"[1675, 1807, 1698]",FOUND,2
142,", pair","[1807, 1698, 1139, 973, 935, 1831, 1847]",FOUND,5
144,string_start string_content string_end,[344],FOUND,1
145,_string_content,"[344, 1682]",FOUND,1
151,string_end,"[1682, 1807, 1684]",FOUND,2
152,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
154,integer,[549],FOUND,3
155,", pair","[1265, 942, 1943, 2580, 2337]",FOUND,1
157,string_start string_content string_end,[359],FOUND,1
158,_string_content,"[359, 1682]",FOUND,1
163,string_end,"[1682, 1807, 1684]",FOUND,2
164,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
166,string_start string_content string_end,[549],FOUND,1
167,_string_content,"[549, 1701]",FOUND,1
171,string_end,"[1701, 1807, 1702]",FOUND,2
172,},"[1807, 1702, 1057, 981, 942, 1943, 2580, 2481, 2337]",FOUND,6
178,identifier,"[639, 68, 1094, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
184,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
185,identifier,[2752],FOUND,1
191,( expression ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,4
192,identifier,[240],FOUND,1
201,),"[1086, 959, 1725, 2670]",FOUND,1
204,for pattern in expression : _indent block,"[632, 712, 71, 69, 2695, 1084, 1101, 1085, 963, 1836, 2336, 639, 72, 68]",FOUND,28
208,identifier,[795],FOUND,1
214,in expression : _indent block,"[1610, 1620, 2412]",FOUND,1
217,identifier,[474],FOUND,1
223,[ slice ],"[1181, 962, 1851, 2653]",FOUND,18
224,: expression,[450],FOUND,5
225,integer,"[371, 2305]",FOUND,2
226,],"[1439, 976, 1882, 2305]",FOUND,12
227,: _indent block,"[1323, 1348, 962, 1851]",FOUND,21
233,if expression : _indent block,"[13, 648, 712, 71, 69, 2695, 99, 704]",FOUND,13
236,identifier,[601],FOUND,1
241,[ expression ],"[1181, 962, 2078, 2653]",FOUND,16
242,string_start string_content string_end,[450],FOUND,3
243,_string_content,"[450, 1710]",FOUND,1
248,string_end,"[1710, 1807, 1711]",FOUND,2
249,],"[1807, 1711, 1355, 1068, 976, 1812]",FOUND,7
