Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,6
15,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
17,integer,[185],FOUND,3
19,while expression : _indent block,"[649, 69, 2695, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,97
25,identifier,[584],FOUND,2
40,<= primary_expression,"[1181, 962, 2073, 2653]",FOUND,19
43,integer,[936],FOUND,4
44,: _indent block,"[1348, 1046, 1566, 1750, 2073]",FOUND,12
50,print,"[5, 105, 714, 71, 69, 2695]",FOUND,29
55,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
56,identifier,"[290, 240]",FOUND,1
70,),"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,1
76,identifier,"[639, 68, 1116, 1085, 859, 1817, 2336]",FOUND,3
91,+= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,15
94,integer,[192],FOUND,1
