Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier,[1835],FOUND,2
11,import _import_list,"[1783, 2613]",FOUND,1
18,identifier,[1879],FOUND,1
31,identifier,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,2
41,( expression argument_list_repeat1 ),"[616, 963, 1836, 2460, 1633, 2625]",FOUND,5
42,integer,[240],FOUND,6
44,", expression","[1334, 959, 1725]",FOUND,3
46,string_start string_content string_end,[319],FOUND,3
47,_string_content,"[319, 1706]",FOUND,1
56,string_end,"[1706, 1807, 1707]",FOUND,2
57,),"[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,2
59,identifier,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1836, 2460]",FOUND,5
69,( expression argument_list_repeat1 ),"[616, 963, 1836, 2460, 1633, 2625]",FOUND,5
70,integer,[240],FOUND,6
72,", expression","[1334, 959, 1725]",FOUND,3
74,string_start string_content string_end,[319],FOUND,3
75,_string_content,"[319, 1706]",FOUND,1
84,string_end,"[1706, 1807, 1707]",FOUND,2
85,", expression","[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,5
87,string_start string_content string_end,[276],FOUND,4
88,_string_content,"[276, 1706]",FOUND,1
101,string_end,"[1706, 1807, 1707]",FOUND,2
102,", expression","[1807, 1707, 1152, 993, 964, 1969, 2487, 2469]",FOUND,5
104,string_start string_content string_end,[276],FOUND,4
105,_string_content,"[276, 1706]",FOUND,1
117,string_end,"[1706, 1807, 1707]",FOUND,2
118,),"[1807, 1707, 1152, 993, 964, 1969, 2487, 2469]",FOUND,2
