Location,Ground_Truth,State_List,Coverage_Result,Rank
0,def identifier parameters : _indent block,"[1, 2695]",FOUND,8
4,identifier parameters : _indent block,[2623],FOUND,1
22,( _parameters ),[2201],FOUND,1
23,identifier,[1649],FOUND,1
33,", parameter","[2218, 2306, 2610]",FOUND,3
35,identifier,"[1651, 2610]",FOUND,3
44,),"[2218, 2548, 2419, 2610]",FOUND,2
45,: _indent block,"[2516, 2519]",FOUND,1
51,_indent block,"[9, 92, 752, 69, 2695]",FOUND,3
54,_string_content,"[9, 648, 786, 69, 2695, 1696]",FOUND,1
91,string_end,"[1696, 1807, 1713]",FOUND,2
99,identifier,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,4
109,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
111,string_start string_repeat1 string_end,[185],FOUND,9
113,{ _f_expression },"[185, 1696]",FOUND,16
114,identifier,[227],FOUND,1
124,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
125,_string_content,"[1933, 1713]",FOUND,3
126,{ _f_expression },"[1933, 1713, 1807, 1726]",FOUND,4
127,identifier,[227],FOUND,1
136,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
137,string_end,"[1933, 1726, 1713]",FOUND,1
143,return expression,"[639, 72, 68, 1031, 961, 963, 1791, 2570, 2591, 2336]",FOUND,14
150,identifier,"[373, 2336]",FOUND,2
159,. identifier,"[1029, 859, 1819, 2336, 2625]",FOUND,2
160,identifier,[2753],FOUND,1
165,( ),"[1043, 1085, 859, 1819, 2336]",FOUND,6
166,),[240],FOUND,3
169,identifier,"[632, 786, 69, 2695, 1076, 1101, 1085, 859, 1819, 2336, 639, 72, 68]",FOUND,2
178,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
180,identifier,[185],FOUND,1
198,( expression argument_list_repeat1 ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,4
199,string_start string_content string_end,[240],FOUND,2
200,_string_content,"[240, 1677]",FOUND,2
204,string_end,"[1677, 1807, 1678]",FOUND,2
205,", expression","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,4
207,string_start string_content string_end,[319],FOUND,3
208,_string_content,"[319, 1706]",FOUND,1
215,string_end,"[1706, 1807, 1707]",FOUND,2
216,),"[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,2
218,print,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,59
223,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
224,identifier,"[290, 240]",FOUND,1
232,),"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,1
