Location,Ground_Truth,State_List,Coverage_Result,Rank
0,def identifier parameters : _indent block,"[1, 2695]",FOUND,8
4,identifier parameters : _indent block,[2623],FOUND,1
16,( _parameters ),[2201],FOUND,1
17,identifier,[1649],FOUND,1
28,", parameter","[2218, 2306, 2610]",FOUND,3
30,identifier,"[1651, 2610]",FOUND,3
38,),"[2218, 2548, 2419, 2610]",FOUND,2
39,: _indent block,"[2516, 2519]",FOUND,1
45,_indent block,"[9, 92, 752, 69, 2695]",FOUND,3
48,_string_content,"[9, 648, 786, 69, 2695, 1696]",FOUND,1
80,string_end,"[1696, 1807, 1713]",FOUND,2
88,print,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,37
93,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
94,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
96,escape_sequence _string_content,"[290, 240, 1677]",FOUND,17
98,_string_content,"[1807, 1678]",FOUND,2
107,{ _f_expression },"[1807, 1678, 1830]",FOUND,4
108,identifier,[227],FOUND,1
119,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
120,_string_content,"[1933, 1726, 1678]",FOUND,3
121,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
122,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
128,print,"[639, 72, 68, 1116, 1085, 859, 1817, 2336]",FOUND,40
133,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
134,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
136,_string_content,"[290, 240, 1677]",FOUND,2
139,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
140,identifier,[227],FOUND,1
151,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
152,_string_content,"[1933, 1726, 1678]",FOUND,3
163,{ _f_expression },"[1933, 1726, 1678, 1807]",FOUND,3
164,identifier,[227],FOUND,1
172,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
173,identifier,[2687],FOUND,1
178,( ),"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,5
179,),[254],FOUND,2
180,},"[1289, 1280, 1265, 942, 1738, 2103]",FOUND,1
181,_string_content,"[1933, 1726, 1678]",FOUND,3
182,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
183,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
186,identifier,"[632, 786, 69, 2695, 639, 72, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,4
198,( expression argument_list_repeat1 ),"[616, 963, 1836, 2460, 1633, 2625]",FOUND,5
199,string_start string_content string_end,[240],FOUND,2
200,_string_content,"[240, 1677]",FOUND,2
207,string_end,"[1677, 1807, 1678]",FOUND,2
208,", expression","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,4
210,string_start string_content string_end,[319],FOUND,3
211,_string_content,"[319, 1706]",FOUND,1
216,string_end,"[1706, 1807, 1707]",FOUND,2
217,),"[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,2
