Location,Ground_Truth,State_List,Coverage_Result,Rank
0,def identifier parameters : _indent block,"[1, 2695]",FOUND,8
4,identifier parameters : _indent block,[2623],FOUND,1
16,( _parameters ),[2201],FOUND,1
17,identifier,[1649],FOUND,1
25,", parameter","[2218, 2306, 2610]",FOUND,3
27,identifier = expression,"[1651, 2610]",FOUND,8
38,= expression,"[2218, 2548, 2419, 2610]",FOUND,6
39,string_start string_content string_end,[550],FOUND,6
40,_string_content,"[550, 1706]",FOUND,1
43,string_end,"[1706, 1807, 1707]",FOUND,2
44,),"[1807, 1707, 1152, 993, 964, 1997, 2501, 2548, 2419, 2610]",FOUND,2
45,: _indent block,"[2516, 2519]",FOUND,1
51,_indent block,"[9, 92, 752, 69, 2695]",FOUND,3
54,_string_content,"[9, 648, 786, 69, 2695, 1696]",FOUND,1
86,string_end,"[1696, 1807, 1713]",FOUND,2
94,print,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,37
99,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
100,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
102,escape_sequence _string_content,"[290, 240, 1677]",FOUND,17
104,_string_content,"[1807, 1678]",FOUND,2
113,{ _f_expression },"[1807, 1678, 1830]",FOUND,4
114,identifier,[227],FOUND,1
125,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
126,_string_content,"[1933, 1726, 1678]",FOUND,3
127,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
128,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
134,print,"[639, 72, 68, 1116, 1085, 859, 1817, 2336]",FOUND,40
139,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
140,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
142,_string_content,"[290, 240, 1677]",FOUND,2
145,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
146,identifier,[227],FOUND,1
157,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
158,_string_content,"[1933, 1726, 1678]",FOUND,3
169,{ _f_expression },"[1933, 1726, 1678, 1807]",FOUND,3
170,identifier,[227],FOUND,1
178,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
179,identifier,[2687],FOUND,1
184,( ),"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,5
185,),[254],FOUND,2
186,},"[1289, 1280, 1265, 942, 1738, 2103]",FOUND,1
187,_string_content,"[1933, 1726, 1678]",FOUND,3
188,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
189,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
192,identifier,"[632, 786, 69, 2695, 639, 72, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,4
204,( keyword_argument ),"[616, 963, 1836, 2460, 1633, 2625]",FOUND,11
205,identifier = expression,[240],FOUND,4
213,= expression,"[1086, 959, 1725, 2670]",FOUND,4
214,string_start string_content string_end,[510],FOUND,2
215,_string_content,"[510, 1706]",FOUND,1
221,string_end,"[1706, 1807, 1707]",FOUND,2
222,),"[1807, 1707, 1152, 993, 964, 1957, 2275]",FOUND,3
