Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier,[1835],FOUND,2
9,import _import_list,"[1783, 2613]",FOUND,1
16,identifier,[1879],FOUND,1
19,", dotted_name","[1923, 2099, 2534, 2460]",FOUND,2
21,identifier,"[2102, 2534, 2460]",FOUND,2
35,identifier,"[649, 69, 2695, 1923, 2241, 2172, 2534, 2460]",FOUND,2
46,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
48,identifier,[185],FOUND,1
51,( expression argument_list_repeat1 ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,4
52,string_start string_content string_end,[240],FOUND,2
53,_string_content,"[240, 1677]",FOUND,2
57,string_end,"[1677, 1807, 1678]",FOUND,2
58,", expression","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,4
60,string_start string_content string_end,[319],FOUND,3
61,_string_content,"[319, 1706]",FOUND,1
68,string_end,"[1706, 1807, 1707]",FOUND,2
69,", expression","[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,5
71,integer,[276],FOUND,5
75,),"[1367, 964, 1969, 2487, 2469]",FOUND,1
77,print,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,60
82,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
83,identifier,"[290, 240]",FOUND,1
93,. identifier,"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,2
94,identifier,[2738],FOUND,1
114,( ),"[1219, 1334, 959, 1676, 1725]",FOUND,7
115,),[267],FOUND,2
116,),"[1341, 1383, 1334, 959, 1676, 1725]",FOUND,1
119,identifier,"[649, 71, 69, 2695, 1116, 1085, 859, 1817, 2460]",FOUND,5
127,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
129,identifier,[185],FOUND,1
140,( expression argument_list_repeat1 ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,4
141,string_start string_content string_end,[240],FOUND,2
142,_string_content,"[240, 1677]",FOUND,2
148,string_end,"[1677, 1807, 1678]",FOUND,2
149,", expression","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,4
151,string_start string_content string_end,[319],FOUND,3
152,_string_content,"[319, 1706]",FOUND,1
156,string_end,"[1706, 1807, 1707]",FOUND,2
157,", expression","[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,5
159,integer,[276],FOUND,5
163,),"[1367, 964, 1969, 2487, 2469]",FOUND,1
165,print,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,60
170,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
171,identifier,"[290, 240]",FOUND,1
178,. identifier,"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,2
179,identifier,[2738],FOUND,1
199,( ),"[1219, 1334, 959, 1676, 1725]",FOUND,7
200,),[267],FOUND,2
201,),"[1341, 1383, 1334, 959, 1676, 1725]",FOUND,1
