Location,Ground_Truth,State_List,Coverage_Result,Rank
0,string_start string_content string_end,"[1, 2695]",FOUND,3
3,_string_content,"[1, 2695, 1696]",FOUND,1
60,string_end,"[1696, 1807, 1713]",FOUND,2
65,class identifier : _indent block,"[649, 69, 2695, 1031, 961, 963, 1836, 2460]",FOUND,21
71,identifier : _indent block,[2668],FOUND,2
74,: _indent block,[2052],FOUND,2
80,_indent block,"[7, 133, 739, 71, 69, 2695]",FOUND,10
83,_string_content,"[7, 648, 753, 71, 69, 2695, 1696]",FOUND,1
119,string_end,"[1696, 1807, 1713]",FOUND,2
128,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
132,identifier parameters : _indent block,[2776],FOUND,2
140,( _parameters ),[2227],FOUND,1
141,identifier,[1649],FOUND,1
145,", parameter","[2218, 2306, 2610]",FOUND,3
147,identifier,"[1651, 2610]",FOUND,3
151,", parameter","[2218, 2548, 2419, 2610]",FOUND,3
153,identifier,"[1652, 2610]",FOUND,4
158,", parameter","[2218, 2548, 2440, 2419, 2610]",FOUND,3
160,identifier,"[1652, 2610]",FOUND,4
164,),"[2218, 2548, 2440, 2419, 2610]",FOUND,2
165,: _indent block,"[2516, 2558]",FOUND,2
175,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
178,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
218,string_end,"[1696, 1807, 1713]",FOUND,2
230,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
234,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
235,identifier,[2752],FOUND,1
240,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
242,identifier,[185],FOUND,1
255,identifier,"[639, 72, 73, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,4
259,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
260,identifier,[2752],FOUND,1
266,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
268,identifier,[185],FOUND,1
282,identifier,"[639, 72, 73, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,4
286,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
287,identifier,[2752],FOUND,1
292,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
294,identifier,[185],FOUND,1
307,identifier,"[639, 72, 73, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,4
311,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
312,identifier,[2752],FOUND,1
329,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
331,integer,[185],FOUND,3
338,def identifier parameters : _indent block,"[633, 757, 72, 68, 1085, 963, 1791, 2570, 2591, 2336, 639, 73]",FOUND,25
342,identifier parameters : _indent block,[2776],FOUND,2
362,( _parameters ),[2227],FOUND,1
363,identifier,[1649],FOUND,1
367,),"[2218, 2306, 2610]",FOUND,2
368,: _indent block,"[2516, 2558]",FOUND,2
378,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
381,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
424,string_end,"[1696, 1807, 1713]",FOUND,2
436,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
446,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
448,string_start string_repeat1 string_end,[185],FOUND,9
450,{ _f_expression },"[185, 1696]",FOUND,16
451,identifier,[227],FOUND,1
455,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
456,identifier,[2687],FOUND,1
460,},"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,1
461,_string_content,"[1933, 1713]",FOUND,3
462,{ _f_expression },"[1933, 1713, 1807, 1726]",FOUND,4
463,identifier,[227],FOUND,1
467,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
468,identifier,[2687],FOUND,1
472,},"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,1
473,_string_content,"[1933, 1726, 1713]",FOUND,3
474,{ _f_expression },"[1933, 1726, 1713, 1807]",FOUND,4
475,identifier,[227],FOUND,1
479,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
480,identifier,[2687],FOUND,1
485,},"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,1
486,string_end,"[1933, 1726, 1713]",FOUND,1
496,return expression,"[639, 72, 73, 1031, 961, 963, 1791, 2570, 2591, 2336]",FOUND,9
503,identifier,"[373, 2336]",FOUND,2
512,. identifier,"[1029, 859, 1819, 2336, 2625]",FOUND,2
513,identifier,[2753],FOUND,1
518,( ),"[1043, 1085, 859, 1819, 2336]",FOUND,6
519,),[240],FOUND,3
526,def identifier parameters : _indent block,"[633, 757, 72, 68, 1076, 1101, 1085, 859, 1819, 2336, 639, 73]",FOUND,25
530,identifier parameters : _indent block,[2776],FOUND,2
543,( _parameters ),[2227],FOUND,1
544,identifier,[1649],FOUND,1
548,),"[2218, 2306, 2610]",FOUND,2
549,: _indent block,"[2516, 2558]",FOUND,2
559,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
562,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
606,string_end,"[1696, 1807, 1713]",FOUND,2
618,print,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,44
623,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
624,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
626,_string_content,"[290, 240, 1677]",FOUND,2
639,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
640,identifier,[227],FOUND,1
644,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
645,identifier,[2687],FOUND,1
661,},"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,1
662,_string_content,"[1933, 1726, 1678]",FOUND,3
675,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
676,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
683,def identifier parameters : _indent block,"[633, 757, 72, 68, 639, 73, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,28
687,identifier parameters : _indent block,[2776],FOUND,2
702,( _parameters ),[2227],FOUND,1
703,identifier,[1649],FOUND,1
707,", parameter","[2218, 2306, 2610]",FOUND,3
709,identifier,"[1651, 2610]",FOUND,3
716,),"[2218, 2548, 2419, 2610]",FOUND,2
717,: _indent block,"[2516, 2558]",FOUND,2
727,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
730,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
860,string_end,"[1696, 1807, 1713]",FOUND,2
872,if expression : _indent block else_clause,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,15
875,identifier,[601],FOUND,1
883,>= primary_expression,"[1181, 962, 2078, 2653]",FOUND,21
886,identifier,[936],FOUND,1
890,. identifier,"[1348, 1046, 1566, 1750, 2078]",FOUND,4
891,identifier,[2773],FOUND,1
907,: _indent block else_clause,"[1310, 1348, 1046, 1566, 1750, 2078]",FOUND,2
921,identifier,"[65, 651, 620, 72, 73, 111, 621]",FOUND,2
925,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
926,identifier,[2752],FOUND,1
943,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
945,identifier,[185],FOUND,1
961,else : _indent block,"[633, 620, 72, 73, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625, 639]",FOUND,13
965,: _indent block,[2684],FOUND,1
979,_indent block,"[45, 651, 721, 814, 72, 73, 124, 718]",FOUND,6
984,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
985,string_start string_content string_end,"[290, 240]",FOUND,2
986,_string_content,"[290, 240, 1677]",FOUND,2
1018,string_end,"[1677, 1807, 1678]",FOUND,2
1019,),"[1807, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
1026,def identifier parameters : _indent block,"[633, 757, 72, 68, 639, 73, 1116, 1085, 859, 1817, 2336, 721, 814, 1084, 1101, 963, 1836]",FOUND,28
1030,identifier parameters : _indent block,[2776],FOUND,2
1048,( _parameters ),[2227],FOUND,1
1049,identifier,[1649],FOUND,1
1053,", parameter","[2218, 2306, 2610]",FOUND,3
1055,identifier,"[1651, 2610]",FOUND,3
1060,),"[2218, 2548, 2419, 2610]",FOUND,2
1061,: _indent block,"[2516, 2558]",FOUND,2
1071,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
1074,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
1119,string_end,"[1696, 1807, 1713]",FOUND,2
1131,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
1135,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
1136,identifier,[2752],FOUND,1
1153,+= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,15
1156,identifier,[192],FOUND,2
1164,class identifier : _indent block,"[632, 753, 71, 69, 2695, 616, 963, 1791, 2572, 2591, 2336, 1648, 2625, 639, 72, 73, 633, 757, 68]",FOUND,30
1170,identifier : _indent block,[2668],FOUND,2
1177,: _indent block,[2052],FOUND,2
1183,_indent block,"[7, 648, 753, 71, 69, 2695, 133, 739]",FOUND,10
1186,_string_content,"[7, 648, 753, 71, 69, 2695, 1696]",FOUND,1
1242,string_end,"[1696, 1807, 1713]",FOUND,2
1251,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
1255,identifier parameters : _indent block,[2776],FOUND,2
1263,( _parameters ),[2227],FOUND,1
1264,identifier,[1649],FOUND,1
1268,", parameter","[2218, 2306, 2610]",FOUND,3
1270,identifier = expression,"[1651, 2610]",FOUND,8
1282,= expression,"[2218, 2548, 2419, 2610]",FOUND,6
1283,integer,[550],FOUND,3
1285,),"[1367, 964, 1997, 2501, 2548, 2419, 2610]",FOUND,1
1286,: _indent block,"[2516, 2558]",FOUND,2
1296,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
1299,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
1335,string_end,"[1696, 1807, 1713]",FOUND,2
1347,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
1351,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
1352,identifier,[2752],FOUND,1
1365,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
1367,identifier,[185],FOUND,1
1385,def identifier parameters : _indent block,"[633, 757, 72, 68, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625, 639, 73]",FOUND,25
1389,identifier parameters : _indent block,[2776],FOUND,2
1405,( _parameters ),[2227],FOUND,1
1406,identifier,[1649],FOUND,1
1410,),"[2218, 2306, 2610]",FOUND,2
1411,: _indent block,"[2516, 2558]",FOUND,2
1421,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
1424,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
1470,string_end,"[1696, 1807, 1713]",FOUND,2
1482,print,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,44
1487,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
1488,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
1490,_string_content,"[290, 240, 1677]",FOUND,2
1505,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
1506,identifier,[227],FOUND,1
1510,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
1511,identifier,[2687],FOUND,1
1523,},"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,1
1524,_string_content,"[1933, 1726, 1678]",FOUND,3
