Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class identifier : _indent block,"[1, 2695]",FOUND,7
6,identifier : _indent block,[2668],FOUND,2
9,: _indent block,[2052],FOUND,2
15,_indent block,"[7, 133, 739, 69, 2695]",FOUND,8
18,_string_content,"[7, 648, 753, 69, 2695, 1696]",FOUND,1
54,string_end,"[1696, 1807, 1713]",FOUND,2
63,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
67,identifier parameters : _indent block,[2776],FOUND,2
75,( _parameters ),[2227],FOUND,1
76,identifier,[1649],FOUND,1
80,", parameter","[2218, 2306, 2610]",FOUND,3
82,identifier,"[1651, 2610]",FOUND,3
86,", parameter","[2218, 2548, 2419, 2610]",FOUND,3
88,identifier,"[1652, 2610]",FOUND,4
93,", parameter","[2218, 2548, 2440, 2419, 2610]",FOUND,3
95,identifier,"[1652, 2610]",FOUND,4
99,),"[2218, 2548, 2440, 2419, 2610]",FOUND,2
100,: _indent block,"[2516, 2558]",FOUND,2
110,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
113,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
153,string_end,"[1696, 1807, 1713]",FOUND,2
165,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
169,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
170,identifier,[2752],FOUND,1
175,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
177,identifier,[185],FOUND,1
190,identifier,"[639, 72, 73, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,4
194,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
195,identifier,[2752],FOUND,1
201,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
203,identifier,[185],FOUND,1
217,identifier,"[639, 72, 73, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,4
221,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
222,identifier,[2752],FOUND,1
227,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
229,identifier,[185],FOUND,1
242,identifier,"[639, 72, 73, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,4
246,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
