Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier,[1835],FOUND,2
13,import _import_list,"[1783, 2613]",FOUND,1
20,identifier,[1879],FOUND,1
25,import _import_list,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,9
32,identifier,[2144],FOUND,1
39,identifier,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,2
44,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
46,identifier,[185],FOUND,1
50,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
51,string_start string_content string_end,[240],FOUND,2
52,_string_content,"[240, 1677]",FOUND,2
65,string_end,"[1677, 1807, 1678]",FOUND,2
66,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
68,if expression : _indent block else_clause,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,43
71,identifier,[491],FOUND,1
75,. identifier,"[1181, 962, 2112, 2653]",FOUND,1
76,identifier,[2773],FOUND,1
82,( ),"[1310, 1348, 962, 2112]",FOUND,8
83,),[246],FOUND,2
84,: _indent block else_clause,"[1420, 1405, 1348, 962, 2112]",FOUND,21
90,identifier,"[4, 97, 613, 71, 69, 2695]",FOUND,1
99,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
101,identifier,[185],FOUND,1
105,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
106,identifier,[2752],FOUND,1
115,( ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,5
116,),[240],FOUND,3
122,identifier,"[639, 68, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
131,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
133,identifier,[185],FOUND,1
137,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
138,identifier,[2752],FOUND,1
143,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,3
144,identifier,[240],FOUND,1
152,),"[1086, 959, 1725, 2670]",FOUND,1
158,print,"[639, 72, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,41
163,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
164,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
166,_string_content,"[290, 240, 1677]",FOUND,2
180,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
181,identifier,[227],FOUND,1
189,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
190,_string_content,"[1933, 1726, 1678]",FOUND,3
191,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
192,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
194,else : _indent block,"[632, 615, 71, 69, 2695, 639, 72, 68, 1116, 1085, 859, 1817, 2336, 1084, 1101, 963, 1836]",FOUND,64
198,: _indent block,[2602],FOUND,1
204,identifier,"[14, 648, 719, 766, 71, 69, 2695, 101, 720]",FOUND,1
213,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
215,identifier,[185],FOUND,1
220,( expression ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,3
221,string_start string_content string_end,[240],FOUND,2
222,_string_content,"[240, 1677]",FOUND,2
241,string_end,"[1677, 1807, 1678]",FOUND,2
242,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
248,identifier,"[639, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
257,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
259,identifier,[185],FOUND,1
263,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
264,identifier,[2752],FOUND,1
269,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,3
270,identifier,[240],FOUND,1
278,),"[1086, 959, 1725, 2670]",FOUND,1
284,identifier,"[639, 72, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
288,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
289,identifier,[2752],FOUND,1
299,( expression ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,4
300,identifier,[240],FOUND,1
308,),"[1086, 959, 1725, 2670]",FOUND,1
314,print,"[639, 72, 68, 1084, 1101, 1085, 963, 1836, 2336]",FOUND,38
319,( expression ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,4
320,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
322,_string_content,"[290, 240, 1677]",FOUND,2
361,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
362,identifier,[227],FOUND,1
370,},"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,1
371,_string_content,"[1933, 1726, 1678]",FOUND,3
372,string_end,"[1933, 1726, 1678, 1807]",FOUND,1
373,),"[1807, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
