Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import _import_list,"[1, 2695]",FOUND,2
7,identifier,[2144],FOUND,1
11,from dotted_name import _import_list,"[649, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,3
16,identifier,[1835],FOUND,2
21,import _import_list,"[1783, 2613]",FOUND,1
28,identifier,[1879],FOUND,1
35,import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,9
42,identifier,[2144],FOUND,1
50,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,3
55,identifier,[1835],FOUND,2
64,import _import_list,"[1783, 2613]",FOUND,1
71,identifier,[1879],FOUND,1
80,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,3
85,identifier,[1835],FOUND,2
96,import _import_list,"[1783, 2613]",FOUND,1
103,identifier,[1879],FOUND,1
113,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,3
118,identifier,[1835],FOUND,2
123,import _import_list,"[1783, 2613]",FOUND,1
130,identifier,[1879],FOUND,1
135,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,3
140,identifier,[1835],FOUND,2
147,import _import_list,"[1783, 2613]",FOUND,1
154,identifier,[1879],FOUND,1
161,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,3
166,identifier,[1835],FOUND,2
172,import _import_list,"[1783, 2613]",FOUND,1
179,identifier,[1879],FOUND,1
187,class identifier : _indent block,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,13
193,identifier : _indent block,[2668],FOUND,2
206,: _indent block,[2052],FOUND,2
212,_indent block,"[7, 133, 739, 71, 69, 2695]",FOUND,10
215,_string_content,"[7, 648, 753, 71, 69, 2695, 1696]",FOUND,1
264,string_end,"[1696, 1807, 1713]",FOUND,2
273,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
277,identifier parameters : _indent block,[2776],FOUND,2
285,( _parameters ),[2227],FOUND,1
286,identifier,[1649],FOUND,1
290,),"[2218, 2306, 2610]",FOUND,2
291,: _indent block,"[2516, 2558]",FOUND,2
301,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
304,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
351,string_end,"[1696, 1807, 1713]",FOUND,2
363,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
369,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
370,identifier,[2752],FOUND,1
374,( ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,6
375,),[240],FOUND,3
385,identifier,"[639, 72, 73, 1076, 1101, 1085, 963, 1836, 2336]",FOUND,4
389,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
390,identifier,[2752],FOUND,1
396,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
398,identifier,[185],FOUND,1
404,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
405,identifier,[2752],FOUND,1
409,. identifier,"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,2
410,identifier,[2752],FOUND,1
415,( ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,5
416,),[240],FOUND,3
426,identifier,"[639, 72, 73, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
430,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
431,identifier,[2752],FOUND,1
440,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
442,identifier,[185],FOUND,1
450,( ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,5
451,),[240],FOUND,3
462,identifier,"[639, 72, 73, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
466,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
467,identifier,[2752],FOUND,1
474,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
476,identifier,[185],FOUND,1
482,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
483,identifier,[2752],FOUND,1
490,. identifier,"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,2
491,identifier,[2752],FOUND,1
499,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,3
513,( _collection_elements ),[240],FOUND,9
514,identifier,[320],FOUND,1
518,. identifier,"[1172, 959, 1679, 2670]",FOUND,1
519,identifier,[2738],FOUND,1
527,. identifier,"[1219, 1334, 959, 1679]",FOUND,1
528,identifier,[2738],FOUND,1
540,", expression","[1219, 1334, 959, 1679]",FOUND,6
542,identifier,"[338, 2715]",FOUND,2
546,. identifier,"[1218, 964, 1963, 2335, 2715, 2647]",FOUND,2
547,identifier,[2609],FOUND,1
555,. identifier,"[1298, 1367, 964, 1963, 2335, 2715]",FOUND,2
556,identifier,[2609],FOUND,1
569,),"[1298, 1367, 964, 1963, 2335, 2715]",FOUND,7
570,),"[1419, 1334, 959, 1725]",FOUND,1
580,identifier,"[639, 72, 73, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
586,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
587,identifier,[2752],FOUND,1
594,. identifier,"[630, 650, 963, 1836, 2336, 1633]",FOUND,3
595,identifier,[2752],FOUND,1
606,( expression ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,4
607,string_start string_content string_end,[240],FOUND,2
608,_string_content,"[240, 1677]",FOUND,2
622,string_end,"[1677, 1807, 1678]",FOUND,2
623,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
633,_simple_statements,"[639, 72, 73, 1084, 1101, 1085, 963, 1836, 2336]",FOUND,11
689,identifier,"[1084, 1101, 1085, 963, 1836, 2336, 639, 72, 73]",FOUND,4
693,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
694,identifier,[2752],FOUND,1
700,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
702,identifier,[185],FOUND,1
711,( expression ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,3
712,identifier,[240],FOUND,1
716,),"[1086, 959, 1725, 2670]",FOUND,1
727,identifier,"[639, 72, 73, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
731,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
732,identifier,[2752],FOUND,1
737,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
739,identifier,[185],FOUND,1
743,( expression ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,3
744,identifier,[240],FOUND,1
748,),"[1086, 959, 1725, 2670]",FOUND,1
758,identifier,"[639, 72, 73, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
762,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
763,identifier,[2752],FOUND,1
