Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class identifier : _indent block,"[1, 2695]",FOUND,12
6,identifier : _indent block,[2668],FOUND,2
15,: _indent block,[2052],FOUND,2
21,_indent block,"[7, 133, 739, 69, 2695]",FOUND,8
24,_string_content,"[7, 648, 753, 69, 2695, 1696]",FOUND,1
60,string_end,"[1696, 1807, 1713]",FOUND,2
69,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
73,identifier parameters : _indent block,[2776],FOUND,2
81,( _parameters ),[2227],FOUND,1
82,identifier,[1649],FOUND,1
86,", parameter","[2218, 2306, 2610]",FOUND,3
88,identifier,"[1651, 2610]",FOUND,3
95,),"[2218, 2548, 2419, 2610]",FOUND,2
96,: _indent block,"[2516, 2558]",FOUND,2
106,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
109,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
131,string_end,"[1696, 1807, 1713]",FOUND,2
143,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
147,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
148,identifier,[2752],FOUND,1
157,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
159,identifier,[185],FOUND,1
166,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
167,identifier,[2752],FOUND,1
184,identifier,"[639, 72, 73, 630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,4
188,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
189,identifier,[2752],FOUND,1
200,( ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,6
201,),[240],FOUND,3
208,def identifier parameters : _indent block,"[633, 757, 72, 68, 1076, 1101, 1085, 963, 1836, 2336, 639, 73]",FOUND,25
212,identifier parameters : _indent block,[2776],FOUND,2
223,( _parameters ),[2227],FOUND,1
224,identifier,[1649],FOUND,1
228,),"[2218, 2306, 2610]",FOUND,2
229,: _indent block,"[2516, 2558]",FOUND,2
239,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
242,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
296,string_end,"[1696, 1807, 1713]",FOUND,2
308,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
312,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
313,identifier,[2752],FOUND,1
324,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
326,identifier,[185],FOUND,1
330,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
331,identifier,[2752],FOUND,1
339,. identifier,"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,2
340,identifier,[2752],FOUND,1
