Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import _import_list,"[1, 2695]",FOUND,2
7,identifier dotted_name_repeat1,[2144],FOUND,2
13,. identifier,"[1923, 2099, 2509, 2460]",FOUND,4
14,identifier,[2768],FOUND,1
19,from dotted_name import _import_list,"[649, 69, 2695, 2036, 1995, 2099, 2509, 2460]",FOUND,3
24,identifier dotted_name_repeat1,[1835],FOUND,1
30,. identifier,"[1783, 2613]",FOUND,2
31,identifier,[2627],FOUND,1
38,import _import_list,"[1810, 1778, 2613]",FOUND,1
45,identifier,[1879],FOUND,1
52,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,3
57,identifier,[1835],FOUND,2
62,import _import_list,"[1783, 2613]",FOUND,1
69,identifier,[1879],FOUND,1
76,class identifier : _indent block,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,13
82,identifier : _indent block,[2668],FOUND,2
92,: _indent block,[2052],FOUND,2
98,_indent block,"[7, 133, 739, 71, 69, 2695]",FOUND,10
101,_string_content,"[7, 648, 753, 71, 69, 2695, 1696]",FOUND,1
139,string_end,"[1696, 1807, 1713]",FOUND,2
148,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
152,identifier parameters : _indent block,[2776],FOUND,2
160,( _parameters ),[2227],FOUND,1
161,identifier,[1649],FOUND,1
165,", parameter","[2218, 2306, 2610]",FOUND,3
167,identifier,"[1651, 2610]",FOUND,3
174,),"[2218, 2548, 2419, 2610]",FOUND,2
175,: _indent block,"[2516, 2558]",FOUND,2
185,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
188,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
223,string_end,"[1696, 1807, 1713]",FOUND,2
235,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
239,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
240,identifier,[2752],FOUND,1
248,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
250,identifier,[185],FOUND,1
