Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import _import_list,"[1, 2695]",FOUND,2
7,identifier dotted_name_repeat1,[2144],FOUND,2
17,. identifier,"[1923, 2099, 2509, 2460]",FOUND,4
18,identifier,[2768],FOUND,1
25,as identifier,"[2036, 1995, 2099, 2509, 2460]",FOUND,3
28,identifier,[2763],FOUND,1
33,identifier,"[649, 69, 2695, 2383, 2141, 2509, 2460]",FOUND,2
36,. identifier,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,2
37,identifier,[2752],FOUND,1
42,. identifier,"[630, 650, 963, 1836, 2460, 1633]",FOUND,2
43,identifier,[2752],FOUND,1
46,( expression ),"[630, 650, 963, 1836, 2460, 1633]",FOUND,3
47,string_start string_content string_end,[240],FOUND,2
48,_string_content,"[240, 1677]",FOUND,2
60,string_end,"[1677, 1807, 1678]",FOUND,2
61,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
63,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1836, 2460]",FOUND,5
66,", pattern","[616, 963, 1836, 2460, 1633, 2625]",FOUND,12
68,identifier,"[425, 2591, 2460, 232, 1650]",FOUND,2
71,= _right_hand_side,"[1029, 859, 1792, 2591, 2460, 2625, 1481, 1623, 1629, 1631, 1650]",FOUND,10
73,identifier,[185],FOUND,1
76,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
77,identifier,[2752],FOUND,1
85,( ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
86,),[240],FOUND,3
88,identifier,"[649, 71, 69, 2695, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
90,. identifier,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,2
91,identifier,[2752],FOUND,1
98,( expression argument_list_repeat1 ),"[630, 650, 963, 1836, 2460, 1633]",FOUND,5
99,integer,[240],FOUND,7
100,", expression","[1334, 959, 1725]",FOUND,3
102,integer,[319],FOUND,5
103,", keyword_argument","[1367, 964, 1969, 2469]",FOUND,3
105,identifier = expression,[276],FOUND,1
106,= expression,"[1345, 964, 1969, 2487, 2469, 2647]",FOUND,1
107,integer,[510],FOUND,4
110,),"[1367, 964, 1957, 2587, 2487, 2469]",FOUND,1
112,module_repeat1,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1836, 2460]",FOUND,16
147,identifier,"[1096, 1101, 1085, 963, 1836, 2460, 649, 71, 69, 2695]",FOUND,5
149,. identifier,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,2
150,identifier,[2752],FOUND,1
159,( expression argument_list_repeat1 ),"[630, 650, 963, 1836, 2460, 1633]",FOUND,5
160,string_start string_content string_end,[240],FOUND,2
161,_string_content,"[240, 1677]",FOUND,2
175,string_end,"[1677, 1807, 1678]",FOUND,2
176,", keyword_argument","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,7
178,identifier = expression,[319],FOUND,2
186,= expression,"[1345, 964, 1969, 2469, 2647]",FOUND,1
187,integer,[510],FOUND,4
189,),"[1367, 964, 1957, 2587, 2469]",FOUND,1
191,identifier,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1836, 2460]",FOUND,5
193,. identifier,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,2
194,identifier,[2752],FOUND,1
204,( expression argument_list_repeat1 ),"[630, 650, 963, 1836, 2460, 1633]",FOUND,5
205,string_start string_content string_end,[240],FOUND,2
206,_string_content,"[240, 1677]",FOUND,2
211,string_end,"[1677, 1807, 1678]",FOUND,2
212,", keyword_argument","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,7
214,identifier = expression,[319],FOUND,2
222,= expression,"[1345, 964, 1969, 2469, 2647]",FOUND,1
223,integer,[510],FOUND,4
225,),"[1367, 964, 1957, 2587, 2469]",FOUND,1
227,identifier,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1836, 2460]",FOUND,5
229,. identifier,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,2
230,identifier,[2752],FOUND,1
240,( expression argument_list_repeat1 ),"[630, 650, 963, 1836, 2460, 1633]",FOUND,5
241,string_start string_content string_end,[240],FOUND,2
242,_string_content,"[240, 1677]",FOUND,2
257,string_end,"[1677, 1807, 1678]",FOUND,2
258,", keyword_argument","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,7
260,identifier = expression,[319],FOUND,2
268,= expression,"[1345, 964, 1969, 2469, 2647]",FOUND,1
269,integer,[510],FOUND,4
271,),"[1367, 964, 1957, 2587, 2469]",FOUND,1
273,_simple_statements,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1836, 2460]",FOUND,18
301,identifier,"[1096, 1101, 1085, 963, 1836, 2460, 649, 71, 69, 2695]",FOUND,5
303,. identifier,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,2
304,identifier,[2752],FOUND,1
315,( keyword_argument ),"[630, 650, 963, 1836, 2460, 1633]",FOUND,11
316,identifier = expression,[240],FOUND,4
325,= expression,"[1086, 959, 1725, 2670]",FOUND,4
326,integer,[510],FOUND,4
328,),"[1367, 964, 1957, 2275]",FOUND,2
331,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1836, 2460]",FOUND,5
334,. identifier,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,2
335,identifier,[2752],FOUND,1
339,( ),"[630, 650, 963, 1836, 2460, 1633]",FOUND,6
340,),[240],FOUND,3
