Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier,[1835],FOUND,2
12,import _import_list,"[1783, 2613]",FOUND,1
19,identifier,[1879],FOUND,1
28,class identifier : _indent block,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,11
34,identifier : _indent block,[2668],FOUND,2
37,: _indent block,[2052],FOUND,2
43,_indent block,"[7, 133, 739, 71, 69, 2695]",FOUND,10
46,_string_content,"[7, 648, 753, 71, 69, 2695, 1696]",FOUND,1
80,string_end,"[1696, 1807, 1713]",FOUND,2
89,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
93,identifier parameters : _indent block,[2776],FOUND,2
101,( _parameters ),[2227],FOUND,1
102,identifier,[1649],FOUND,1
106,", parameter","[2218, 2306, 2610]",FOUND,3
108,identifier = expression,"[1651, 2610]",FOUND,8
117,= expression,"[2218, 2548, 2419, 2610]",FOUND,6
118,integer,[550],FOUND,3
119,),"[1367, 964, 1997, 2501, 2548, 2419, 2610]",FOUND,1
120,: _indent block,"[2516, 2558]",FOUND,2
130,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
133,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
156,string_end,"[1696, 1807, 1713]",FOUND,2
168,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
172,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
173,identifier,[2752],FOUND,1
183,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
185,identifier,[185],FOUND,1
200,def identifier parameters : _indent block,"[633, 757, 72, 68, 616, 963, 1791, 2570, 2591, 2336, 1648, 2625, 639, 73]",FOUND,25
204,identifier parameters : _indent block,[2776],FOUND,2
208,( _parameters ),[2227],FOUND,1
209,identifier,[1649],FOUND,1
213,),"[2218, 2306, 2610]",FOUND,2
214,: _indent block,"[2516, 2558]",FOUND,2
224,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
227,_string_content _string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,18
228,_string_content,"[1696, 1807, 1713]",FOUND,1
280,string_end,"[1807, 1713, 1830]",FOUND,1
292,return expression,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,9
299,identifier,"[373, 2336]",FOUND,2
306,( expression argument_list_repeat1 ),"[1029, 859, 1819, 2336, 2625]",FOUND,5
307,integer,[240],FOUND,7
308,", expression","[1334, 959, 1725]",FOUND,3
310,identifier,[319],FOUND,1
314,. identifier,"[1345, 964, 1969, 2469, 2647]",FOUND,3
315,identifier,[2609],FOUND,1
324,),"[1298, 1367, 964, 1969, 2469]",FOUND,1
