Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier,[1835],FOUND,2
13,import _import_list,"[1783, 2613]",FOUND,1
20,identifier,[1879],FOUND,1
25,import _import_list,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,9
32,identifier,[2144],FOUND,1
38,import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,9
45,identifier dotted_name_repeat1,[2144],FOUND,2
51,. identifier,"[1923, 2099, 2509, 2460]",FOUND,4
52,identifier,[2768],FOUND,1
60,as identifier,"[2036, 1995, 2099, 2509, 2460]",FOUND,3
63,identifier,[2763],FOUND,1
66,module_repeat1,"[649, 71, 69, 2695, 2383, 2141, 2509, 2460]",FOUND,9
124,identifier,"[2383, 2141, 2509, 2460, 649, 71, 69, 2695]",FOUND,2
129,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
131,identifier,[185],FOUND,1
135,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
136,string_start string_content string_end,[240],FOUND,2
137,_string_content,"[240, 1677]",FOUND,2
170,string_end,"[1677, 1807, 1678]",FOUND,2
171,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
173,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
182,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
184,identifier,[185],FOUND,1
188,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
189,identifier,[2752],FOUND,1
198,( keyword_argument ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,8
199,identifier = expression,[240],FOUND,4
207,= expression,"[1086, 959, 1725, 2670]",FOUND,4
208,string_start string_content string_end,[510],FOUND,2
209,_string_content,"[510, 1706]",FOUND,1
214,string_end,"[1706, 1807, 1707]",FOUND,2
215,),"[1807, 1707, 1152, 993, 964, 1957, 2275]",FOUND,3
217,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
229,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
231,identifier,[185],FOUND,1
235,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
236,identifier,[2752],FOUND,1
241,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,2
242,identifier,[240],FOUND,1
250,),"[1086, 959, 1725, 2670]",FOUND,1
252,_simple_statements,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,18
295,identifier,"[1084, 1101, 1085, 963, 1791, 2570, 2591, 2460, 649, 71, 69, 2695]",FOUND,5
308,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
310,identifier,[185],FOUND,1
321,[ expression ],"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,6
322,string_start string_content string_end,[433],FOUND,2
323,_string_content,"[433, 1710]",FOUND,1
331,string_end,"[1710, 1807, 1711]",FOUND,2
332,],"[1807, 1711, 1355, 1068, 976, 1795]",FOUND,2
335,identifier,"[649, 71, 69, 2695, 634, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
339,", pattern","[616, 963, 1836, 2460, 1633, 2625]",FOUND,12
341,identifier,"[425, 2591, 2460, 232, 1650]",FOUND,2
345,", pattern","[1029, 859, 1792, 2591, 2460, 2625, 1481, 1623, 1629, 1631, 1650]",FOUND,17
347,identifier,"[416, 2591, 2460, 255, 1650]",FOUND,3
351,", pattern","[1029, 859, 1805, 2121, 2591, 2460, 2625, 1481, 1623, 1629, 1640, 1631, 1650]",FOUND,21
353,identifier,"[426, 2591, 2460, 255, 1650]",FOUND,3
363,= expression_list,"[1029, 859, 1805, 2108, 2121, 2591, 2460, 2625, 1481, 1623, 1629, 1640, 1631, 1650]",FOUND,20
365,[ ],[185],FOUND,7
366,],[217],FOUND,1
367,", expression","[631, 1085, 963, 1791, 2570, 2591, 2460, 1634, 1648]",FOUND,17
369,[ ],"[379, 2570, 2591, 2460, 219, 1639]",FOUND,7
370,],"[291, 215]",FOUND,4
