Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier,[1835],FOUND,2
13,import _import_list,"[1783, 2613]",FOUND,1
20,identifier,[1879],FOUND,1
25,import _import_list,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,9
32,identifier,[2144],FOUND,1
38,identifier,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,2
43,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
45,identifier,[185],FOUND,1
49,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
50,string_start string_content string_end,[240],FOUND,2
51,_string_content,"[240, 1677]",FOUND,2
96,string_end,"[1677, 1807, 1678]",FOUND,2
97,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
99,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
105,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
107,identifier,[185],FOUND,1
111,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
112,identifier,[2752],FOUND,1
121,( ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
122,),[240],FOUND,3
123,. identifier,"[1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,1
124,identifier,[2752],FOUND,1
134,( ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
135,),[240],FOUND,3
138,identifier,"[649, 71, 69, 2695, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
145,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
147,identifier,[185],FOUND,1
150,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
151,identifier,[2752],FOUND,1
157,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,2
158,identifier,[240],FOUND,1
163,),"[1086, 959, 1725, 2670]",FOUND,1
165,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
176,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
178,identifier,[185],FOUND,1
182,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
183,identifier,[240],FOUND,1
189,),"[1086, 959, 1725, 2670]",FOUND,1
192,for pattern_list in expression : _indent block,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,92
196,identifier,[795],FOUND,1
201,", pattern","[1610, 1620, 2412]",FOUND,2
203,identifier,"[760, 2640]",FOUND,1
217,in expression : _indent block,"[1610, 1620, 1629, 2362, 2640]",FOUND,2
220,identifier,[474],FOUND,1
229,( expression ),"[1181, 962, 1851, 2653]",FOUND,3
230,identifier,[246],FOUND,1
240,),"[1086, 959, 1686, 2670]",FOUND,5
241,: _indent block,"[1311, 1405, 1348, 962, 1851]",FOUND,21
247,_indent block,"[13, 99, 704, 71, 69, 2695]",FOUND,23
252,( expression argument_list_repeat1 ),"[84, 963, 1836, 2336, 1633, 2625]",FOUND,5
253,identifier,"[290, 240]",FOUND,1
258,", expression","[1172, 959, 1676, 2670, 1086, 1725]",FOUND,3
260,identifier,"[338, 2672, 319]",FOUND,1
273,),"[1218, 964, 1963, 2335, 2672, 2647, 1345, 1969, 2469]",FOUND,3
