Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier,[1835],FOUND,2
13,import _import_list,"[1783, 2613]",FOUND,1
20,identifier,[1879],FOUND,1
25,import _import_list,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,9
32,identifier,[2144],FOUND,1
37,import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,9
44,identifier dotted_name_repeat1,[2144],FOUND,2
54,. identifier,"[1923, 2099, 2509, 2460]",FOUND,4
55,identifier,[2768],FOUND,1
62,as identifier,"[2036, 1995, 2099, 2509, 2460]",FOUND,3
65,identifier,[2763],FOUND,1
71,identifier,"[649, 71, 69, 2695, 2383, 2141, 2509, 2460]",FOUND,2
76,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
78,identifier,[185],FOUND,1
82,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
83,string_start string_content string_end,[240],FOUND,2
84,_string_content,"[240, 1677]",FOUND,2
129,string_end,"[1677, 1807, 1678]",FOUND,2
130,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
132,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
138,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
140,identifier,[185],FOUND,1
144,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
145,identifier,[2752],FOUND,1
154,( ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
155,),[240],FOUND,3
156,. identifier,"[1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,1
157,identifier,[2752],FOUND,1
167,( ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
168,),[240],FOUND,3
171,identifier,"[649, 71, 69, 2695, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
178,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
180,identifier,[185],FOUND,1
183,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
184,identifier,[2752],FOUND,1
190,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,2
191,identifier,[240],FOUND,1
196,),"[1086, 959, 1725, 2670]",FOUND,1
198,identifier,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
209,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
211,identifier,[185],FOUND,1
215,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
216,identifier,[240],FOUND,1
222,),"[1086, 959, 1725, 2670]",FOUND,1
224,_simple_statements,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,18
254,identifier,"[1084, 1101, 1085, 963, 1791, 2570, 2591, 2460, 649, 71, 69, 2695]",FOUND,5
260,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
262,[ ],[185],FOUND,7
263,],[217],FOUND,1
265,for pattern in expression : _indent block,"[649, 71, 69, 2695, 631, 1085, 963, 1791, 2570, 2591, 2460, 1634, 1648]",FOUND,62
269,identifier,[795],FOUND,1
273,in expression : _indent block,"[1610, 1620, 2412]",FOUND,1
276,identifier,[474],FOUND,1
282,: _indent block,"[1181, 962, 1851, 2653]",FOUND,21
288,identifier,"[13, 99, 704, 71, 69, 2695]",FOUND,1
293,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
295,identifier,[185],FOUND,1
298,( expression ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,3
299,identifier,[240],FOUND,1
302,[ expression ],"[1086, 959, 1725, 2670]",FOUND,9
303,integer,[447],FOUND,2
304,],"[1439, 976, 1799]",FOUND,2
305,),"[1178, 1334, 959, 1725]",FOUND,1
311,identifier,"[639, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
316,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
317,identifier,[2752],FOUND,1
323,( expression ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,4
