Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import _import_list,"[1, 2695]",FOUND,2
7,identifier,[2144],FOUND,1
16,import _import_list,"[649, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,9
23,identifier,[2144],FOUND,1
28,_simple_statements,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,11
74,identifier,"[1923, 2099, 2509, 2460, 649, 71, 69, 2695]",FOUND,2
78,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
80,string_start string_content string_end,[185],FOUND,2
81,_string_content,"[185, 1696]",FOUND,2
137,string_end,"[1696, 1807, 1713]",FOUND,2
139,identifier,"[649, 71, 69, 2695, 1031, 961, 963, 1791, 2570, 2591, 2460]",FOUND,5
141,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
143,identifier,[185],FOUND,1
151,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
152,identifier,[2752],FOUND,1
155,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,2
156,identifier,[240],FOUND,1
159,),"[1086, 959, 1725, 2670]",FOUND,1
161,print,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,60
166,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
167,string_start string_repeat1 string_end,"[290, 240]",FOUND,5
169,_string_content,"[290, 240, 1677]",FOUND,2
182,{ _f_expression },"[1677, 1807, 1678]",FOUND,3
183,identifier,[227],FOUND,1
184,. identifier,"[1078, 942, 1738, 2103, 2568, 2764]",FOUND,2
185,identifier,[2687],FOUND,1
196,},"[1227, 1210, 942, 1738, 2103, 2568]",FOUND,1
197,string_end,"[1933, 1726, 1678]",FOUND,1
198,),"[1933, 1726, 1678, 1182, 1012, 959, 1676, 1725]",FOUND,1
200,module_repeat1,"[649, 71, 69, 2695, 1116, 1085, 859, 1817, 2460]",FOUND,16
238,identifier,"[1116, 1085, 859, 1817, 2460, 1084, 1101, 963, 1836, 649, 71, 69, 2695]",FOUND,7
252,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
254,identifier,[185],FOUND,1
255,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
256,identifier,[2752],FOUND,1
260,( ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
261,),[240],FOUND,3
263,identifier,"[649, 71, 69, 2695, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
279,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
281,identifier,[185],FOUND,1
285,. identifier,"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,1
286,identifier,[2752],FOUND,1
291,( expression argument_list_repeat1 ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,4
292,identifier,[240],FOUND,1
305,", keyword_argument","[1086, 959, 1725, 2670]",FOUND,6
307,identifier = expression,[319],FOUND,2
313,= expression,"[1345, 964, 1969, 2469, 2647]",FOUND,1
314,integer,[510],FOUND,4
315,),"[1367, 964, 1957, 2587, 2469]",FOUND,1
317,print,"[649, 71, 69, 2695, 1096, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,60
322,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
323,identifier,"[290, 240]",FOUND,1
338,),"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,1
