Location,Ground_Truth,State_List,Coverage_Result,Rank
0,string_start string_content string_end,"[1, 2695]",FOUND,3
3,_string_content,"[1, 2695, 1696]",FOUND,1
630,string_end,"[1696, 1807, 1713]",FOUND,2
634,from dotted_name import _import_list,"[649, 69, 2695, 1031, 961, 963, 1836, 2460]",FOUND,7
639,identifier dotted_name_repeat1,[1835],FOUND,1
645,. identifier,"[1783, 2613]",FOUND,2
646,identifier,[2627],FOUND,1
654,import _import_list,"[1810, 1778, 2613]",FOUND,1
661,identifier,[1879],FOUND,1
667,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,3
672,identifier dotted_name_repeat1,[1835],FOUND,1
678,. identifier,"[1783, 2613]",FOUND,2
679,identifier,[2627],FOUND,1
684,import _import_list,"[1810, 1778, 2613]",FOUND,1
691,identifier,[1879],FOUND,1
695,", dotted_name","[1923, 2099, 2534, 2460]",FOUND,2
697,identifier,"[2102, 2534, 2460]",FOUND,2
706,identifier,"[649, 71, 69, 2695, 1923, 2241, 2172, 2534, 2460]",FOUND,2
718,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
720,[ _collection_elements ],[185],FOUND,4
726,identifier,[217],FOUND,2
730,( expression argument_list_repeat1 ),"[1224, 869, 1683, 2593, 2486, 2722, 2762]",FOUND,6
731,string_start string_content string_end,[251],FOUND,2
732,_string_content,"[251, 1677]",FOUND,1
738,string_end,"[1677, 1807, 1678]",FOUND,2
739,", expression","[1807, 1678, 1182, 1012, 959, 1690]",FOUND,15
741,identifier,[272],FOUND,2
746,. identifier,"[1345, 964, 1969, 2308, 2647]",FOUND,2
747,identifier,[2609],FOUND,1
751,. identifier,"[1298, 1367, 964, 1969, 2308]",FOUND,1
752,identifier,[2609],FOUND,1
756,),"[1298, 1367, 964, 1969, 2308]",FOUND,7
757,", expression","[1202, 1186, 1151, 869, 1683, 2593]",FOUND,3
763,identifier,"[322, 2593]",FOUND,4
767,( expression argument_list_repeat1 ),"[1381, 976, 1921, 2451, 2593, 2596]",FOUND,7
768,string_start string_end,[258],FOUND,16
769,string_end,"[258, 1677]",FOUND,9
770,", expression","[1677, 1274, 1012, 959, 1709]",FOUND,11
772,identifier,[307],FOUND,2
779,( expression ),"[1345, 964, 1969, 2420, 2647]",FOUND,3
780,string_start string_content string_end,[257],FOUND,3
781,_string_content,"[257, 1677]",FOUND,1
799,string_end,"[1677, 1807, 1678]",FOUND,2
800,),"[1807, 1678, 1182, 1012, 959, 1704]",FOUND,5
801,),"[1391, 1332, 1367, 964, 1969, 2420]",FOUND,8
802,",","[1442, 1421, 1439, 976, 1921, 2451, 2593]",FOUND,4
804,],"[332, 2593]",FOUND,4
