Location,Ground_Truth,State_List,Coverage_Result,Rank
49,from dotted_name import _import_list,"[1, 2695]",FOUND,1
54,identifier dotted_name_repeat1,[1835],FOUND,1
60,. identifier,"[1783, 2613]",FOUND,2
61,identifier,[2627],FOUND,1
64,import _import_list,"[1810, 1778, 2613]",FOUND,1
71,identifier,[1879],FOUND,1
81,", dotted_name","[1923, 2099, 2534, 2460]",FOUND,2
83,identifier,"[2102, 2534, 2460]",FOUND,2
90,import _import_list,"[649, 69, 2695, 1923, 2241, 2172, 2534, 2460]",FOUND,8
97,identifier dotted_name_repeat1,[2144],FOUND,2
103,. identifier,"[1923, 2099, 2509, 2460]",FOUND,4
104,identifier,[2768],FOUND,1
106,. identifier,"[2036, 1995, 2099, 2509, 2460]",FOUND,4
107,identifier,[2768],FOUND,1
113,. identifier,"[2036, 1938, 1995, 2099, 2509, 2460]",FOUND,4
114,identifier,[2768],FOUND,1
125,class identifier argument_list : _indent block,"[649, 71, 69, 2695, 2036, 1938, 1995, 2099, 2509, 2460]",FOUND,8
131,identifier argument_list : _indent block,[2668],FOUND,1
140,( expression ),[2052],FOUND,1
141,identifier,[245],FOUND,1
151,. identifier,"[1345, 964, 1871, 2647]",FOUND,2
152,identifier,[2609],FOUND,1
161,),"[1298, 1367, 964, 1871]",FOUND,2
162,: _indent block,"[1311, 2639]",FOUND,1
169,identifier,"[11, 95, 755, 71, 69, 2695]",FOUND,1
182,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
184,[ _collection_elements ],[185],FOUND,4
194,( _collection_elements ),[217],FOUND,4
195,string_start string_content string_end,[190],FOUND,2
196,_string_content,"[190, 1677]",FOUND,1
209,string_end,"[1677, 1807, 1678]",FOUND,2
210,", expression","[1807, 1678, 1182, 1012, 959, 1689]",FOUND,10
212,string_start string_content string_end,"[338, 2785]",FOUND,1
213,_string_content,"[338, 2785, 1706]",FOUND,1
225,string_end,"[1706, 1807, 1707]",FOUND,2
226,),"[1807, 1707, 1152, 993, 964, 1963, 2335, 2785]",FOUND,10
227,",","[1188, 1151, 869, 1683, 2593]",FOUND,13
233,],"[322, 2593]",FOUND,3
240,identifier,"[639, 68, 1140, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
251,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
253,[ _collection_elements ],[185],FOUND,4
263,identifier,[217],FOUND,2
273,. identifier,"[1224, 869, 1683, 2593, 2486, 2722, 2762]",FOUND,1
274,identifier,[2714],FOUND,1
285,"( keyword_argument argument_list_repeat1 , )","[1241, 1374, 869, 1683, 2593, 2486, 2722]",FOUND,17
299,identifier = expression,[251],FOUND,4
303,= expression,"[1086, 959, 1690, 2670]",FOUND,2
304,string_start string_content string_end,[510],FOUND,2
305,_string_content,"[510, 1706]",FOUND,1
310,string_end,"[1706, 1807, 1707]",FOUND,2
311,", keyword_argument","[1807, 1707, 1152, 993, 964, 1957, 2303]",FOUND,14
325,identifier = expression,[272],FOUND,1
331,= expression,"[1345, 964, 1969, 2308, 2647]",FOUND,1
332,[ _collection_elements ],[510],FOUND,6
350,( _collection_elements ),[269],FOUND,3
