Location,Ground_Truth,State_List,Coverage_Result,Rank
0,string_start string_content string_end,"[1, 2695]",FOUND,3
3,_string_content,"[1, 2695, 1696]",FOUND,1
306,string_end,"[1696, 1807, 1713]",FOUND,2
311,from dotted_name import _import_list,"[649, 69, 2695, 1031, 961, 963, 1836, 2460]",FOUND,7
316,identifier,[1835],FOUND,2
324,import _import_list,"[1783, 2613]",FOUND,1
331,identifier,[1879],FOUND,1
336,_simple_statements,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,11
402,identifier,"[1923, 2099, 2534, 2460, 649, 71, 69, 2695]",FOUND,2
411,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
413,identifier,[185],FOUND,1
417,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
418,identifier,[240],FOUND,1
426,),"[1086, 959, 1725, 2670]",FOUND,1
427,. identifier,"[1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,1
428,identifier,[2752],FOUND,1
435,( ),"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,5
436,),[240],FOUND,3
437,. identifier,"[1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,1
438,identifier,[2752],FOUND,1
444,. identifier,"[630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,1
445,identifier,[2752],FOUND,1
452,module_repeat1,"[649, 71, 69, 2695, 630, 650, 963, 1791, 2570, 2591, 2460, 1648]",FOUND,16
517,module_repeat1,"[630, 650, 963, 1791, 2570, 2591, 2460, 1648, 649, 71, 69, 2695]",FOUND,16
589,module_repeat1,"[630, 650, 963, 1791, 2570, 2591, 2460, 1648, 649, 71, 69, 2695]",FOUND,16
657,identifier,"[630, 650, 963, 1791, 2570, 2591, 2460, 1648, 649, 71, 69, 2695]",FOUND,5
668,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
670,string_start string_content string_end,[185],FOUND,2
671,_string_content,"[185, 1696]",FOUND,2
737,string_end,"[1696, 1807, 1713]",FOUND,2
739,_simple_statements,"[649, 71, 69, 2695, 1031, 961, 963, 1791, 2570, 2591, 2460]",FOUND,18
806,identifier,"[1031, 961, 963, 1791, 2570, 2591, 2460, 649, 71, 69, 2695]",FOUND,5
812,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
814,true,[185],FOUND,5
820,identifier,"[649, 71, 69, 2695, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
834,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
836,[ ],[185],FOUND,7
837,],[217],FOUND,1
840,_simple_statements,"[649, 71, 69, 2695, 631, 1085, 963, 1791, 2570, 2591, 2460, 1634, 1648]",FOUND,18
866,identifier,"[631, 1085, 963, 1791, 2570, 2591, 2460, 1634, 1648, 649, 71, 69, 2695]",FOUND,5
881,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
883,[ _collection_elements ],[185],FOUND,4
889,_collection_elements ],[217],FOUND,8
904,string_start string_content string_end,[217],FOUND,3
905,_string_content,"[217, 1691]",FOUND,1
918,string_end,"[1691, 1807, 1692]",FOUND,2
919,", expression","[1807, 1692, 1115, 969, 869, 1683, 2593]",FOUND,6
925,string_start string_content string_end,"[322, 2593]",FOUND,2
926,_string_content,"[322, 2593, 1710]",FOUND,1
934,string_end,"[1710, 1807, 1711]",FOUND,2
935,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2451, 2593]",FOUND,1
941,expression,"[332, 2593]",FOUND,6
969,string_start string_content string_end,"[332, 2593]",FOUND,2
970,_string_content,"[332, 2593, 1710]",FOUND,2
990,string_end,"[1710, 1807, 1711]",FOUND,2
991,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
997,string_start string_content string_end,"[332, 2593]",FOUND,2
998,_string_content,"[332, 2593, 1710]",FOUND,2
1017,string_end,"[1710, 1807, 1711]",FOUND,2
1018,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1024,string_start string_content string_end,"[332, 2593]",FOUND,2
1025,_string_content,"[332, 2593, 1710]",FOUND,2
1052,string_end,"[1710, 1807, 1711]",FOUND,2
1053,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1059,string_start string_content string_end,"[332, 2593]",FOUND,2
1060,_string_content,"[332, 2593, 1710]",FOUND,2
1083,string_end,"[1710, 1807, 1711]",FOUND,2
1084,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1090,string_start string_content string_end,"[332, 2593]",FOUND,2
1091,_string_content,"[332, 2593, 1710]",FOUND,2
1114,string_end,"[1710, 1807, 1711]",FOUND,2
1115,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1121,string_start string_content string_end,"[332, 2593]",FOUND,2
1122,_string_content,"[332, 2593, 1710]",FOUND,2
1148,string_end,"[1710, 1807, 1711]",FOUND,2
1149,",","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,7
1151,],"[332, 2593]",FOUND,4
1154,identifier,"[649, 71, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
1165,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
1167,[ _collection_elements ],[185],FOUND,4
1173,string_start string_content string_end,[217],FOUND,3
1174,_string_content,"[217, 1691]",FOUND,1
1219,string_end,"[1691, 1807, 1692]",FOUND,2
1220,", expression","[1807, 1692, 1115, 969, 869, 1683, 2593]",FOUND,6
1226,string_start string_content string_end,"[322, 2593]",FOUND,2
1227,_string_content,"[322, 2593, 1710]",FOUND,1
1279,string_end,"[1710, 1807, 1711]",FOUND,2
1280,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2451, 2593]",FOUND,1
1286,string_start string_content string_end,"[332, 2593]",FOUND,2
1287,_string_content,"[332, 2593, 1710]",FOUND,2
1328,string_end,"[1710, 1807, 1711]",FOUND,2
1329,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1335,string_start string_content string_end,"[332, 2593]",FOUND,2
1336,_string_content,"[332, 2593, 1710]",FOUND,2
1377,string_end,"[1710, 1807, 1711]",FOUND,2
1378,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1384,string_start string_content string_end,"[332, 2593]",FOUND,2
1385,_string_content,"[332, 2593, 1710]",FOUND,2
1440,string_end,"[1710, 1807, 1711]",FOUND,2
1441,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1447,string_start string_content string_end,"[332, 2593]",FOUND,2
1448,_string_content,"[332, 2593, 1710]",FOUND,2
1500,string_end,"[1710, 1807, 1711]",FOUND,2
1501,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,1
1507,string_start string_content string_end,"[332, 2593]",FOUND,2
1508,_string_content,"[332, 2593, 1710]",FOUND,2
1562,string_end,"[1710, 1807, 1711]",FOUND,2
1563,",","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2593]",FOUND,7
1565,],"[332, 2593]",FOUND,4
1568,identifier,"[649, 71, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
1581,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
1583,string_start string_content string_end,[185],FOUND,2
1584,_string_content,"[185, 1696]",FOUND,2
1599,string_end,"[1696, 1807, 1713]",FOUND,2
1602,identifier,"[649, 71, 69, 2695, 1031, 961, 963, 1791, 2570, 2591, 2460]",FOUND,5
1612,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
1614,[ _collection_elements ],[185],FOUND,4
1620,"{ pair dictionary_repeat1 , }",[217],FOUND,16
1630,string_start string_content string_end,[200],FOUND,1
1631,_string_content,"[200, 1675]",FOUND,1
1638,string_end,"[1675, 1807, 1698]",FOUND,2
1639,: expression,"[1807, 1698, 1139, 973, 935, 1670, 2754]",FOUND,3
1641,string_start string_content string_end,[487],FOUND,1
1642,_string_content,"[487, 1675]",FOUND,1
1689,string_end,"[1675, 1807, 1698]",FOUND,2
1690,", pair","[1807, 1698, 1139, 973, 935, 1831, 1844]",FOUND,4
1700,string_start string_content string_end,[363],FOUND,1
1701,_string_content,"[363, 1682]",FOUND,1
1705,string_end,"[1682, 1807, 1684]",FOUND,2
1706,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
1708,[ ],[549],FOUND,14
1709,],[305],FOUND,5
1710,", pair","[1154, 1265, 942, 1943, 2580, 2302]",FOUND,2
1720,string_start string_content string_end,[364],FOUND,1
1721,_string_content,"[364, 1682]",FOUND,1
1729,string_end,"[1682, 1807, 1684]",FOUND,2
1730,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
1732,true,[549],FOUND,10
1736,", pair","[1265, 942, 1943, 2580, 2481, 2302]",FOUND,2
1746,string_start string_content string_end,[364],FOUND,1
1747,_string_content,"[364, 1682]",FOUND,1
1754,string_end,"[1682, 1807, 1684]",FOUND,2
1755,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
1757,"{ pair , }",[549],FOUND,16
1771,string_start string_content string_end,[206],FOUND,1
1772,_string_content,"[206, 1675]",FOUND,1
1790,string_end,"[1675, 1807, 1698]",FOUND,2
1791,: expression,"[1807, 1698, 1139, 973, 935, 1658, 2744]",FOUND,2
1793,[ _collection_elements ],[487],FOUND,7
1811,string_start string_content string_end,[296],FOUND,2
1812,_string_content,"[296, 1691]",FOUND,1
1852,string_end,"[1691, 1807, 1692]",FOUND,2
1853,", expression","[1807, 1692, 1115, 969, 869, 1718, 2787]",FOUND,7
1871,string_start string_content string_end,"[322, 2787]",FOUND,2
1872,_string_content,"[322, 2787, 1710]",FOUND,1
1914,string_end,"[1710, 1807, 1711]",FOUND,2
1915,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2451, 2787]",FOUND,1
1933,string_start string_content string_end,"[332, 2787]",FOUND,2
1934,_string_content,"[332, 2787, 1710]",FOUND,2
1977,string_end,"[1710, 1807, 1711]",FOUND,2
1978,", expression","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2787]",FOUND,1
1996,string_start string_content string_end,"[332, 2787]",FOUND,2
1997,_string_content,"[332, 2787, 1710]",FOUND,2
2048,string_end,"[1710, 1807, 1711]",FOUND,2
2049,",","[1807, 1711, 1355, 1068, 976, 1921, 2309, 2451, 2787]",FOUND,6
2063,],"[332, 2787]",FOUND,5
2064,", }","[1237, 1206, 935, 1831, 1852]",FOUND,9
2074,},[346],FOUND,2
2075,", }","[1143, 1265, 942, 1943, 2580, 2481, 2302]",FOUND,3
2081,},[364],FOUND,2
2082,",","[1201, 1151, 869, 1683, 2593]",FOUND,13
2084,],"[322, 2593]",FOUND,3
2087,identifier,"[649, 71, 69, 2695, 1140, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
2104,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
2106,string_start string_content string_end,[185],FOUND,2
2107,_string_content,"[185, 1696]",FOUND,2
2134,string_end,"[1696, 1807, 1713]",FOUND,2
2137,module_repeat1,"[649, 71, 69, 2695, 1031, 961, 963, 1791, 2570, 2591, 2460]",FOUND,16
2150,module_repeat1,"[1031, 961, 963, 1791, 2570, 2591, 2460, 649, 71, 69, 2695]",FOUND,16
2214,identifier,"[1031, 961, 963, 1791, 2570, 2591, 2460, 649, 71, 69, 2695]",FOUND,5
2224,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
