Location,Ground_Truth,State_List,Coverage_Result,Rank
22,string_start string_content string_end,"[1, 2695]",FOUND,3
25,_string_content,"[1, 2695, 1696]",FOUND,1
80,string_end,"[1696, 1807, 1713]",FOUND,2
84,import _import_list,"[649, 69, 2695, 1031, 961, 963, 1836, 2460]",FOUND,15
91,identifier,[2144],FOUND,1
94,import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,9
101,identifier,[2144],FOUND,1
107,def identifier parameters : _indent block,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,5
111,identifier parameters : _indent block,[2623],FOUND,1
115,( ),[2201],FOUND,2
116,),[1649],FOUND,3
117,: _indent block,"[2522, 2519]",FOUND,1
123,_indent block,"[9, 92, 752, 71, 69, 2695]",FOUND,3
126,_string_content,"[9, 648, 786, 71, 69, 2695, 1696]",FOUND,1
151,string_end,"[1696, 1807, 1713]",FOUND,2
159,identifier,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,4
161,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
162,identifier,[2752],FOUND,1
169,. identifier,"[630, 650, 963, 1836, 2336, 1633]",FOUND,3
170,identifier,[2752],FOUND,1
180,( expression argument_list_repeat1 ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,5
181,string_start string_content string_end,[240],FOUND,2
182,_string_content,"[240, 1677]",FOUND,2
204,string_end,"[1677, 1807, 1678]",FOUND,2
205,", expression","[1807, 1678, 1182, 1012, 959, 1725]",FOUND,4
207,string_start string_content string_end,[319],FOUND,3
208,_string_content,"[319, 1706]",FOUND,1
227,string_end,"[1706, 1807, 1707]",FOUND,2
228,),"[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,2
234,try : _indent block except_clause,"[639, 72, 68, 1096, 1101, 1085, 963, 1836, 2336]",FOUND,32
237,: _indent block except_clause,[2660],FOUND,1
247,_indent block except_clause,"[64, 651, 480, 72, 68, 110, 588]",FOUND,14
252,identifier dotted_name_repeat1,[1835],FOUND,1
258,. identifier,"[1783, 2613]",FOUND,2
259,identifier,[2627],FOUND,1
263,. identifier,"[1810, 1778, 2613]",FOUND,2
264,identifier,[2627],FOUND,1
275,import _import_list,"[1810, 1751, 1778, 2613]",FOUND,1
282,identifier,[1879],FOUND,1
312,except expression : _indent block,"[633, 480, 72, 68, 1923, 2099, 2534, 2336, 639, 73]",FOUND,18
319,identifier,[448],FOUND,1
331,as expression,"[1181, 962, 1872, 2653]",FOUND,15
334,identifier,[571],FOUND,1
337,: _indent block,"[1181, 962, 1935, 1750, 1872, 2653]",FOUND,9
347,_indent block,"[53, 651, 664, 482, 72, 68, 132, 676]",FOUND,11
353,identifier,"[348, 2336]",FOUND,2
364,( expression ),"[1029, 859, 1761, 2336, 2625]",FOUND,4
378,string_start string_content string_end,[240],FOUND,2
379,_string_content,"[240, 1677]",FOUND,2
435,string_end,"[1677, 1807, 1678]",FOUND,2
449,string_start string_content string_end,"[1182, 1012, 959, 1725]",FOUND,11
450,_string_content,"[1182, 1012, 959, 1725, 1677]",FOUND,2
509,string_end,"[1677, 1807, 1678]",FOUND,2
523,string_start string_content string_end,"[1182, 997, 1334, 959, 1725]",FOUND,11
524,_string_content,"[1182, 997, 1334, 959, 1725, 1677]",FOUND,2
565,string_end,"[1677, 1807, 1678]",FOUND,2
575,),"[1182, 1041, 997, 1334, 959, 1725]",FOUND,1
577,from expression,"[1084, 1101, 1085, 859, 1761, 2336]",FOUND,19
582,identifier,[586],FOUND,1
590,identifier,"[633, 664, 482, 72, 68, 1029, 859, 1897, 2336, 2625, 639, 73]",FOUND,3
615,( expression ),"[616, 963, 1836, 2336, 1633, 2625]",FOUND,4
616,identifier,[240],FOUND,1
619,. identifier,"[1086, 959, 1725, 2670]",FOUND,2
620,identifier,[2738],FOUND,1
624,),"[1219, 1334, 959, 1725]",FOUND,1
628,if expression : _indent block,"[632, 786, 71, 69, 2695, 1084, 1101, 1085, 963, 1836, 2336, 639, 72, 68]",FOUND,17
631,identifier,[491],FOUND,1
640,== primary_expression,"[1181, 962, 2112, 2653]",FOUND,4
643,string_start string_content string_end,[936],FOUND,2
644,_string_content,"[936, 1682]",FOUND,1
652,string_end,"[1682, 1807, 1684]",FOUND,2
653,: _indent block,"[1807, 1684, 1277, 1017, 1046, 1566, 1750, 2112]",FOUND,5
659,identifier,"[4, 648, 615, 71, 69, 2695, 97, 613]",FOUND,1
663,( ),"[616, 963, 1836, 2336, 1633, 2625]",FOUND,6
664,),[240],FOUND,3
