Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier dotted_name_repeat1,[1835],FOUND,1
11,. identifier,"[1783, 2613]",FOUND,2
12,identifier,[2627],FOUND,1
17,import _import_list,"[1810, 1778, 2613]",FOUND,1
24,identifier,[1879],FOUND,1
36,class identifier argument_list : _indent block,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,8
42,identifier argument_list : _indent block,[2668],FOUND,1
56,( expression ),[2052],FOUND,1
57,identifier,[245],FOUND,1
66,),"[1345, 964, 1871, 2647]",FOUND,3
67,: _indent block,"[1311, 2639]",FOUND,1
73,identifier,"[11, 95, 755, 71, 69, 2695]",FOUND,1
92,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
94,string_start string_content string_end,[185],FOUND,2
95,_string_content,"[185, 1696]",FOUND,2
124,string_end,"[1696, 1807, 1713]",FOUND,2
130,identifier,"[639, 68, 1031, 961, 963, 1791, 2570, 2591, 2336]",FOUND,4
135,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
137,string_start string_content string_end,[185],FOUND,2
138,_string_content,"[185, 1696]",FOUND,2
146,string_end,"[1696, 1807, 1713]",FOUND,2
