Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier dotted_name_repeat1,[1835],FOUND,1
11,. identifier,"[1783, 2613]",FOUND,2
12,identifier,[2627],FOUND,1
15,import _import_list,"[1810, 1778, 2613]",FOUND,1
22,identifier,[1879],FOUND,1
30,class identifier argument_list : _indent block,"[649, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,8
36,identifier argument_list : _indent block,[2668],FOUND,1
41,( expression ),[2052],FOUND,1
42,identifier,[245],FOUND,1
48,. identifier,"[1345, 964, 1871, 2647]",FOUND,2
49,identifier,[2609],FOUND,1
54,),"[1298, 1367, 964, 1871]",FOUND,2
55,: _indent block,"[1311, 2639]",FOUND,1
61,_indent block,"[11, 95, 755, 71, 69, 2695]",FOUND,6
64,_string_content,"[11, 648, 791, 71, 69, 2695, 1696]",FOUND,1
99,string_end,"[1696, 1807, 1713]",FOUND,2
107,identifier,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,4
112,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
114,identifier,[185],FOUND,1
120,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
121,identifier,[2752],FOUND,1
130,( keyword_argument ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,8
131,identifier = expression,[240],FOUND,4
141,= expression,"[1086, 959, 1725, 2670]",FOUND,4
142,integer,[510],FOUND,4
145,),"[1367, 964, 1957, 2275]",FOUND,2
151,identifier,"[639, 72, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
162,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
164,identifier,[185],FOUND,1
170,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
171,identifier,[2752],FOUND,1
184,( keyword_argument ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,8
185,identifier = expression,[240],FOUND,4
197,= expression,"[1086, 959, 1725, 2670]",FOUND,4
198,true,[510],FOUND,3
202,),"[1367, 964, 1957, 2275]",FOUND,2
209,def identifier parameters : _indent block,"[639, 72, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,24
213,identifier parameters : _indent block,[2776],FOUND,2
220,( _parameters ),[2227],FOUND,1
221,identifier,[1649],FOUND,1
225,),"[2218, 2306, 2610]",FOUND,2
226,: _indent block,"[2516, 2558]",FOUND,2
236,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
239,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
283,string_end,"[1696, 1807, 1713]",FOUND,2
295,return expression,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,9
302,identifier,"[373, 2336]",FOUND,2
306,. identifier,"[1029, 859, 1819, 2336, 2625]",FOUND,2
307,identifier,[2753],FOUND,1
314,class identifier argument_list : _indent block,"[632, 791, 71, 69, 2695, 1043, 1085, 859, 1819, 2336, 639, 72, 73, 633, 757, 68]",FOUND,17
320,identifier argument_list : _indent block,[2668],FOUND,1
325,( expression ),[2052],FOUND,1
326,identifier,[245],FOUND,1
332,. identifier,"[1345, 964, 1871, 2647]",FOUND,2
333,identifier,[2609],FOUND,1
