Location,Ground_Truth,State_List,Coverage_Result,Rank
0,from dotted_name import _import_list,"[1, 2695]",FOUND,1
5,identifier dotted_name_repeat1,[1835],FOUND,1
11,. identifier,"[1783, 2613]",FOUND,2
12,identifier,[2627],FOUND,1
22,import _import_list,"[1810, 1778, 2613]",FOUND,1
29,identifier,[1879],FOUND,1
35,", dotted_name","[1923, 2099, 2534, 2460]",FOUND,2
37,identifier,"[2102, 2534, 2460]",FOUND,2
47,from relative_import import _import_list,"[649, 69, 2695, 1923, 2241, 2172, 2534, 2460]",FOUND,10
52,.,[1835],FOUND,3
53,identifier,"[2146, 2293, 2613]",FOUND,2
60,import _import_list,"[1783, 2757, 2613]",FOUND,1
67,identifier,[1879],FOUND,1
72,", dotted_name","[1923, 2099, 2534, 2460]",FOUND,2
74,identifier,"[2102, 2534, 2460]",FOUND,2
80,from relative_import import _import_list,"[649, 71, 69, 2695, 1923, 2241, 2172, 2534, 2460]",FOUND,12
85,.,[1835],FOUND,3
86,identifier,"[2146, 2293, 2613]",FOUND,2
92,import _import_list,"[1783, 2757, 2613]",FOUND,1
99,identifier,[1879],FOUND,1
108,", dotted_name","[1923, 2099, 2534, 2460]",FOUND,2
110,identifier,"[2102, 2534, 2460]",FOUND,2
122,def identifier parameters : _indent block,"[649, 71, 69, 2695, 1923, 2241, 2172, 2534, 2460]",FOUND,5
126,identifier parameters : _indent block,[2623],FOUND,1
131,( _parameters ),[2201],FOUND,1
132,identifier,[1649],FOUND,1
139,),"[2218, 2306, 2610]",FOUND,2
140,: _indent block,"[2516, 2519]",FOUND,1
146,_indent block,"[9, 92, 752, 71, 69, 2695]",FOUND,3
149,_string_content,"[9, 648, 786, 71, 69, 2695, 1696]",FOUND,1
180,string_end,"[1696, 1807, 1713]",FOUND,2
188,return expression,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,13
195,identifier,"[373, 2336]",FOUND,2
201,( expression argument_list_repeat1 ),"[1029, 859, 1819, 2336, 2625]",FOUND,5
202,identifier,[240],FOUND,1
209,", expression","[1086, 959, 1725, 2670]",FOUND,3
211,string_start string_content string_end,[319],FOUND,3
212,_string_content,"[319, 1706]",FOUND,1
236,string_end,"[1706, 1807, 1707]",FOUND,2
237,),"[1807, 1707, 1152, 993, 964, 1969, 2469]",FOUND,2
240,def identifier parameters : _indent block,"[632, 786, 71, 69, 2695, 1096, 1101, 1085, 859, 1819, 2336, 639, 72, 68]",FOUND,12
244,identifier parameters : _indent block,[2623],FOUND,1
250,( _parameters ),[2201],FOUND,1
251,identifier,[1649],FOUND,1
258,),"[2218, 2306, 2610]",FOUND,2
259,: _indent block,"[2516, 2519]",FOUND,1
265,_indent block,"[9, 648, 786, 71, 69, 2695, 92, 752]",FOUND,3
268,_string_content,"[9, 648, 786, 71, 69, 2695, 1696]",FOUND,1
284,string_end,"[1696, 1807, 1713]",FOUND,2
292,identifier,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,4
299,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
301,identifier,[185],FOUND,1
306,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
307,identifier,[2752],FOUND,1
314,. identifier,"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,2
315,identifier,[2752],FOUND,1
