Location,Ground_Truth,State_List,Coverage_Result,Rank
378,module constant _terminator body_statement end,"[1, 5883]",FOUND,2
385,constant _terminator body_statement end,[1978],FOUND,1
395,class constant _terminator body_statement end,"[2041, 218, 127, 4668, 5420, 5447]",FOUND,5
401,constant _terminator body_statement end,[1975],FOUND,1
413,constant,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,7
432,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828]",FOUND,3
434,""" _literal_contents )",[462],FOUND,3
435,string_content,"[462, 5084]",FOUND,1
456,),"[5084, 5307, 5096]",FOUND,2
462,identifier,"[2041, 2053, 252, 4944, 5777, 5828, 2259, 2234, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,2
474,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5828]",FOUND,11
485,", _argument","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5828, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515]",FOUND,9
487,simple_symbol,[451],FOUND,3
507,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2380, 2376, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4626]",FOUND,5
511,identifier,[2466],FOUND,1
521,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
522,identifier,[4611],FOUND,1
526,),"[5461, 5245, 5499]",FOUND,1
534,instance_variable,"[2041, 238, 2084, 149]",FOUND,3
546,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
548,constant,[462],FOUND,2
573,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,2
578,( _argument_list_with_trailing_comma ),"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,6
579,identifier,[428],FOUND,1
583,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
591,instance_variable,"[2041, 2053, 257, 252, 4944, 5777, 5810, 2455, 2257, 2376, 2552, 2812, 4589, 4626]",FOUND,7
606,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
608,identifier,[462],FOUND,1
617,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,12
626,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,3
634,def _method_rest,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5828]",FOUND,62
638,identifier,[2459],FOUND,1
643,( _formal_parameter ),"[4745, 4545, 5602]",FOUND,2
644,identifier,[4611],FOUND,1
648,),"[5461, 5245, 5499]",FOUND,1
656,constant,"[2041, 238, 2084, 156]",FOUND,3
668,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
669,identifier,[3163],FOUND,1
