Location,Ground_Truth,State_List,Coverage_Result,Rank
399,identifier,"[1, 5883]",FOUND,1
407,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
408,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
416,),"[5084, 5307, 5096]",FOUND,2
419,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
430,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
432,""" _literal_contents )",[481],FOUND,3
433,string_content,"[481, 5084]",FOUND,1
454,),"[5084, 5307, 5096]",FOUND,2
457,constant,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2234, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,5
469,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
470,identifier,[3136],FOUND,1
474,do block_parameters _terminator body_statement end,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,11
477,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
478,identifier,[4575],FOUND,1
482,|,"[5315, 5245, 5489]",FOUND,1
487,identifier,"[2041, 242, 2118, 194]",FOUND,2
491,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
492,identifier,[3163],FOUND,1
499,= _arg,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,3
501,""" _literal_contents )",[462],FOUND,3
502,string_content,"[462, 5084]",FOUND,1
538,),"[5084, 5307, 5096]",FOUND,2
543,identifier,"[2041, 2053, 252, 4944, 5777, 5923, 2259, 2234, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,2
547,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,2
548,identifier,[3163],FOUND,1
