Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
383,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
384,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
393,#{ _statements },"[5084, 5307, 5096]",FOUND,4
395,constant,[357],FOUND,2
399,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
400,identifier,[3163],FOUND,1
404,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
405,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
415,),"[5302, 5307, 5177, 5096]",FOUND,1
417,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
419,constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,10
