Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
397,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
399,{ pair hash_repeat1 },[481],FOUND,22
403,""" _literal_contents )",[741],FOUND,3
404,string_content,"[741, 5207]",FOUND,1
409,),"[5207, 5307, 5038]",FOUND,1
411,=> _arg,"[2835, 3184, 3192, 4307]",FOUND,1
414,""" _literal_contents )",[939],FOUND,1
415,string_content,"[939, 5207]",FOUND,1
421,),"[5207, 5307, 5038]",FOUND,1
422,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5526]",FOUND,7
426,""" _literal_contents )",[752],FOUND,2
427,string_content,"[752, 5207]",FOUND,1
435,),"[5207, 5307, 5038]",FOUND,1
437,=> _arg,"[2835, 3184, 3192, 4307]",FOUND,1
440,""" _literal_contents )",[939],FOUND,1
441,string_content,"[939, 5207]",FOUND,1
449,),"[5207, 5307, 5038]",FOUND,1
450,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5508]",FOUND,3
454,""" _literal_contents )",[756],FOUND,1
455,string_content,"[756, 5207]",FOUND,1
459,),"[5207, 5307, 5038]",FOUND,1
461,=> _arg,"[2835, 3184, 3192, 4307]",FOUND,1
464,""" _literal_contents )",[939],FOUND,1
465,string_content,"[939, 5207]",FOUND,1
475,),"[5207, 5307, 5038]",FOUND,1
476,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,3
480,""" _literal_contents )",[756],FOUND,1
481,string_content,"[756, 5207]",FOUND,1
485,),"[5207, 5307, 5038]",FOUND,1
487,=> _arg,"[2835, 3184, 3192, 4307]",FOUND,1
490,""" _literal_contents )",[939],FOUND,1
491,string_content,"[939, 5207]",FOUND,1
499,),"[5207, 5307, 5038]",FOUND,1
500,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,3
504,""" _literal_contents )",[756],FOUND,1
505,string_content,"[756, 5207]",FOUND,1
512,),"[5207, 5307, 5038]",FOUND,1
514,=> _arg,"[2835, 3184, 3192, 4307]",FOUND,1
517,""" _literal_contents )",[939],FOUND,1
518,string_content,"[939, 5207]",FOUND,1
523,),"[5207, 5307, 5038]",FOUND,1
524,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,3
528,""" _literal_contents )",[756],FOUND,1
529,string_content,"[756, 5207]",FOUND,1
535,),"[5207, 5307, 5038]",FOUND,1
537,=> _arg,"[2835, 3184, 3192, 4307]",FOUND,1
540,""" _literal_contents )",[939],FOUND,1
541,string_content,"[939, 5207]",FOUND,1
547,),"[5207, 5307, 5038]",FOUND,1
549,},"[2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,4
551,identifier,"[2142, 2145, 346, 5593, 5883, 2397, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
569,[ _argument_list_with_trailing_comma ],"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,9
570,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 431]",FOUND,1
571,string_content,"[431, 5207]",FOUND,1
575,),"[5207, 5307, 5038]",FOUND,1
576,],"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5683]",FOUND,4
578,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2061, 2108, 2182, 2860, 3360, 4770, 4868]",FOUND,2
596,[ _argument_list_with_trailing_comma ],"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,9
597,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 431]",FOUND,1
598,string_content,"[431, 5207]",FOUND,1
603,),"[5207, 5307, 5038]",FOUND,1
604,],"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5683]",FOUND,4
606,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2061, 2108, 2182, 2860, 3360, 4770, 4868]",FOUND,2
624,[ _argument_list_with_trailing_comma ],"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,9
625,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 431]",FOUND,1
626,string_content,"[431, 5207]",FOUND,1
633,),"[5207, 5307, 5038]",FOUND,1
634,],"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5683]",FOUND,4
