Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
397,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
399,{ pair hash_repeat1 },[481],FOUND,22
403,hash_key_symbol : _arg,[741],FOUND,2
408,: _arg,"[741, 5679]",FOUND,1
410,""" _literal_contents )","[749, 5526]",FOUND,3
411,string_content,"[749, 5526, 5207]",FOUND,1
417,),"[5207, 5307, 5038]",FOUND,1
418,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5526]",FOUND,7
422,hash_key_symbol : _arg,[752],FOUND,1
430,: _arg,"[752, 5679]",FOUND,1
432,""" _literal_contents )","[749, 5618, 5508]",FOUND,4
433,string_content,"[749, 5618, 5508, 5207]",FOUND,1
441,),"[5207, 5307, 5038]",FOUND,1
442,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5508]",FOUND,3
446,hash_key_symbol : _arg,[756],FOUND,2
450,: _arg,"[756, 5679]",FOUND,2
452,""" _literal_contents )","[749, 5618, 5566, 5508]",FOUND,4
453,string_content,"[749, 5618, 5566, 5508, 5207]",FOUND,1
463,),"[5207, 5307, 5038]",FOUND,1
464,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,3
468,hash_key_symbol : _arg,[756],FOUND,2
472,: _arg,"[756, 5679]",FOUND,2
474,""" _literal_contents )","[749, 5618, 5566, 5508]",FOUND,4
475,string_content,"[749, 5618, 5566, 5508, 5207]",FOUND,1
483,),"[5207, 5307, 5038]",FOUND,1
484,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,3
488,hash_key_symbol : _arg,[756],FOUND,2
495,: _arg,"[756, 5679]",FOUND,2
497,""" _literal_contents )","[749, 5618, 5566, 5508]",FOUND,4
498,string_content,"[749, 5618, 5566, 5508, 5207]",FOUND,1
503,),"[5207, 5307, 5038]",FOUND,1
504,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,3
508,hash_key_symbol : _arg,[756],FOUND,2
514,: _arg,"[756, 5679]",FOUND,2
516,""" _literal_contents )","[749, 5618, 5566, 5508]",FOUND,4
517,string_content,"[749, 5618, 5566, 5508, 5207]",FOUND,1
523,),"[5207, 5307, 5038]",FOUND,1
525,},"[2835, 2807, 3192, 4095, 5618, 5566, 5508]",FOUND,4
527,identifier,"[2142, 2145, 346, 5593, 5883, 2397, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
532,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
533,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
546,#{ _statements },"[5084, 5307, 5096]",FOUND,4
548,identifier,[357],FOUND,1
566,[ _argument_list_with_trailing_comma ],"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,10
567,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807, 431]",FOUND,7
572,],"[431, 3026, 3027, 3515, 3995, 5317, 5442, 5683]",FOUND,3
573,},"[2061, 2108, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,7
574,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
585,),"[5302, 5307, 5177, 5096]",FOUND,1
