Location,Ground_Truth,State_List,Coverage_Result,Rank
378,module constant _terminator body_statement end,"[1, 5883]",FOUND,2
385,constant _terminator body_statement end,[1978],FOUND,1
401,_terminator body_statement end,"[127, 4668, 5420, 5447, 2041, 218]",FOUND,1
463,def _method_rest,"[2041, 218, 127, 4668, 5420, 5447]",FOUND,9
467,identifier,[2466],FOUND,1
470,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
471,identifier,[4611],FOUND,1
474,),"[5461, 5245, 5499]",FOUND,1
480,identifier,"[2041, 238, 2084, 149]",FOUND,2
485,constant,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,15
489,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5810]",FOUND,6
490,identifier,[3097],FOUND,1
493,. identifier,"[1911, 7, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5810]",FOUND,5
494,identifier,[3097],FOUND,1
502,( _argument_list_with_trailing_comma ),"[1911, 7, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5810]",FOUND,7
503,""" _literal_contents )",[428],FOUND,2
504,string_content,"[428, 5207]",FOUND,1
511,),"[5207, 5307, 5038]",FOUND,1
512,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
514,+ _arg,"[2455, 2261, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5810]",FOUND,21
516,identifier,[1341],FOUND,1
522,end,"[2041, 2053, 252, 4944, 5777, 5810, 2079, 2048, 2114, 2429, 2690, 2547, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,8
577,module constant _terminator body_statement end,"[2041, 2053, 252, 4944, 5777, 5805, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,53
584,constant _terminator body_statement end,[1978],FOUND,1
601,def _method_rest,"[2041, 218, 127, 4668, 5420, 5447]",FOUND,9
605,identifier,[2466],FOUND,1
616,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
617,identifier,[4611],FOUND,1
621,),"[5461, 5245, 5499]",FOUND,1
629,identifier,"[2041, 238, 2084, 149]",FOUND,2
641,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,14
653,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
666,( _argument_list_with_trailing_comma ),"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,6
667,""" _literal_contents )",[428],FOUND,2
668,#{ _statements },"[428, 5207]",FOUND,14
670,identifier,[357],FOUND,1
674,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
675,string_content,"[5302, 5307, 5038]",FOUND,3
676,),"[5302, 5307, 5038, 5177]",FOUND,1
677,),"[5307, 5177, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
