Location,Ground_Truth,State_List,Coverage_Result,Rank
378,module constant _terminator body_statement end,"[1, 5883]",FOUND,2
385,constant _terminator body_statement end,[1978],FOUND,1
398,identifier,"[2041, 218, 127, 4668, 5420, 5447]",FOUND,7
405,constant,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5805]",FOUND,14
412,do _terminator body_statement end,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5805]",FOUND,2
419,identifier,"[2041, 179, 164]",FOUND,2
432,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5656, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,9
436,identifier,[2466],FOUND,1
440,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
441,* identifier,[4611],FOUND,2
442,identifier,"[4759, 5283, 5245, 5499]",FOUND,3
446,),"[4846, 5283, 5245, 5499]",FOUND,1
454,identifier,"[2041, 238, 2084, 149]",FOUND,2
458,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
459,identifier,[3163],FOUND,1
464,do block_parameters _terminator body_statement end,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,13
467,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
468,identifier,[4575],FOUND,1
471,|,"[5315, 5245, 5489]",FOUND,1
481,constant,"[2041, 242, 2118, 194]",FOUND,3
487,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
488,identifier,[3163],FOUND,1
492,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
493,""" _literal_contents )",[428],FOUND,2
494,string_content,"[428, 5207]",FOUND,1
505,#{ _statements },"[5207, 5307, 5038]",FOUND,4
507,identifier,[357],FOUND,1
510,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
511,),"[5302, 5307, 5177, 5038]",FOUND,1
512,),"[5302, 5307, 5177, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
520,end,"[2041, 2053, 252, 4944, 5777, 5923, 2455, 2255, 2376, 2552, 2812, 4589, 4625]",FOUND,11
528,end,"[2041, 2053, 252, 4944, 5777, 5810, 2408, 2306, 2376, 2552, 2812, 4589, 4625]",FOUND,11
534,end,"[2041, 2053, 257, 252, 4944, 5777, 5656, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,4
538,end,"[2041, 2053, 252, 4944, 5777, 5805, 4370, 4435, 4471, 4589, 4625]",FOUND,8
543,class constant _terminator body_statement end,"[2142, 2145, 346, 5593, 5883, 2314, 2376, 2860, 3360, 4770, 4861]",FOUND,11
549,constant _terminator body_statement end,[1975],FOUND,1
562,identifier,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,5
568,constant,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828]",FOUND,14
582,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,5
586,identifier,[2466],FOUND,1
591,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
592,identifier,[4611],FOUND,1
595,),"[5461, 5245, 5499]",FOUND,1
601,identifier,"[2041, 238, 2084, 149]",FOUND,2
606,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,14
612,end,"[2041, 2053, 252, 4944, 5777, 5810, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,9
616,end,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,21
621,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2311, 2376, 2860, 3360, 4770, 4868]",FOUND,2
626,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
627,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
645,),"[5084, 5307, 5096]",FOUND,2
647,constant,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,5
657,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
658,identifier,[3136],FOUND,1
661,. identifier,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,3
662,identifier,[3136],FOUND,1
667,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
668,""" _literal_contents )",[428],FOUND,2
669,string_content,"[428, 5207]",FOUND,1
682,),"[5207, 5307, 5038]",FOUND,1
683,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
685,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3360, 4770, 4868]",FOUND,2
690,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
691,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
695,),"[5084, 5307, 5096]",FOUND,2
