Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
390,),"[5084, 5307, 5096]",FOUND,2
393,class constant _terminator body_statement end,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,12
399,constant _terminator body_statement end,[1975],FOUND,1
412,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
416,identifier,[2466],FOUND,1
419,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
420,* identifier,[4611],FOUND,2
421,identifier,"[4759, 5283, 5245, 5499]",FOUND,3
425,),"[4846, 5283, 5245, 5499]",FOUND,1
431,identifier,"[2041, 238, 2084, 149]",FOUND,2
435,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
436,identifier,[3163],FOUND,1
443,{ block_parameters block_body },"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,15
445,| _formal_parameter parameters_repeat1 |,[255],FOUND,3
446,identifier,[4572],FOUND,1
447,", _formal_parameter","[5315, 5245, 5374]",FOUND,2
449,identifier,[4590],FOUND,1
450,|,"[5315, 5245, 5268, 5350]",FOUND,1
452,identifier,"[2163, 318]",FOUND,1
454,+ _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,27
456,identifier,[1174],FOUND,2
458,},"[2079, 2044, 2139, 2501, 2814, 2547, 2812, 4589, 4625, 5893, 5814]",FOUND,4
462,end,"[2041, 2053, 252, 4944, 5777, 5810, 2369, 2308, 2376, 2552, 2812, 4589, 4625]",FOUND,11
466,end,"[2041, 2053, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,21
471,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2311, 2376, 2860, 3360, 4770, 4868]",FOUND,2
478,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
480,constant,[481],FOUND,1
490,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
491,identifier,[3136],FOUND,1
495,constant,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,5
498,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
499,identifier,[3136],FOUND,1
512,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
513,""" _literal_contents )",[428],FOUND,2
514,string_content,"[428, 5207]",FOUND,1
536,),"[5207, 5307, 5038]",FOUND,1
537,", _argument","[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,2
539,identifier,"[432, 5815]",FOUND,3
545,),"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
