Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
384,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
386,constant,[481],FOUND,1
394,identifier,"[2142, 2145, 346, 5593, 5883, 1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
400,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
401,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
420,),"[5084, 5307, 5096]",FOUND,2
422,begin _terminator _body_statement end,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,21
430,identifier,"[2041, 247, 199]",FOUND,2
436,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5983]",FOUND,13
444,identifier,"[2041, 2053, 252, 4944, 5983, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
450,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5983]",FOUND,3
452,identifier,[462],FOUND,1
457,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5983]",FOUND,2
458,identifier,[3163],FOUND,1
471,identifier,"[2041, 2053, 257, 252, 4944, 5983, 1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,3
477,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5983]",FOUND,4
478,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5983, 5084]",FOUND,3
481,),"[5084, 5307, 5096]",FOUND,2
483,if _expression,"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 4944, 5983]",FOUND,6
486,identifier,[520],FOUND,1
492,end,"[2041, 2053, 257, 252, 4944, 5983, 1909, 3, 2132, 2552, 2812, 4594, 4579, 4626]",FOUND,28
496,while _expression,"[2426, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
502,identifier,[564],FOUND,3
508,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1924, 8, 2182, 2860, 3360, 4752, 4579, 4868]",FOUND,3
513,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1924, 8, 2182, 2860, 3360, 4770, 4868]",FOUND,3
515,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
516,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
527,#{ _statements },"[5084, 5307, 5096]",FOUND,4
529,constant,[357],FOUND,2
536,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
537,identifier,[3163],FOUND,1
546,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
547,),"[5302, 5307, 5177, 5096]",FOUND,1
549,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
551,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
552,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
564,#{ _statements },"[5084, 5307, 5096]",FOUND,4
566,constant,[357],FOUND,2
573,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
574,identifier,[3163],FOUND,1
584,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
585,),"[5302, 5307, 5177, 5096]",FOUND,1
