Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
391,),"[5084, 5307, 5096]",FOUND,2
394,class constant _terminator body_statement end,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,12
400,constant _terminator body_statement end,[1975],FOUND,1
410,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
414,identifier,[2466],FOUND,1
424,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
425,identifier,[4611],FOUND,1
433,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
435,identifier,[4622],FOUND,1
443,", _formal_parameter","[5461, 5245, 5268, 5515]",FOUND,2
445,identifier,[4622],FOUND,1
453,),"[5461, 5245, 5268, 5567, 5515]",FOUND,1
459,instance_variable,"[2041, 238, 2109, 149]",FOUND,3
469,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
471,identifier,[462],FOUND,1
484,instance_variable,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,6
494,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
496,identifier,[462],FOUND,1
509,instance_variable,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,7
519,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
521,identifier,[462],FOUND,1
532,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,12
539,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
543,identifier,[2466],FOUND,1
554,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
555,identifier,[4611],FOUND,1
565,),"[5461, 5245, 5499]",FOUND,1
571,identifier,"[2041, 238, 2084, 149]",FOUND,2
581,[ _argument_list_with_trailing_comma ],"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,9
582,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810, 431]",FOUND,3
583,string_content,"[431, 5207]",FOUND,1
591,),"[5207, 5307, 5038]",FOUND,1
592,],"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5683]",FOUND,4
594,= _arg,"[2061, 2108, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
596,instance_variable,[462],FOUND,4
610,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 1910, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,2
620,[ _argument_list_with_trailing_comma ],"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,10
621,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810, 431]",FOUND,3
622,string_content,"[431, 5207]",FOUND,1
630,),"[5207, 5307, 5038]",FOUND,1
631,],"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5683]",FOUND,4
633,= _arg,"[2061, 2108, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
635,instance_variable,[462],FOUND,4
647,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1910, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,12
654,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,6
658,identifier,[2466],FOUND,1
667,""" _literal_contents )","[2041, 216, 4745, 4557, 5621]",FOUND,11
668,#{ _statements },"[2041, 216, 5084]",FOUND,6
670,instance_variable,[357],FOUND,3
679,},"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
680,string_content,"[5302, 5307, 5096]",FOUND,3
681,#{ _statements },"[5302, 5307, 5096, 5177]",FOUND,4
683,instance_variable,[357],FOUND,3
