Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
383,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
385,constant,[481],FOUND,1
387,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,2
388,identifier,[3136],FOUND,1
393,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,5
394,[ _argument_list_with_trailing_comma ],[428],FOUND,8
395,""" _literal_contents )",[430],FOUND,2
396,string_content,"[430, 5207]",FOUND,1
398,),"[5207, 5307, 5038]",FOUND,1
399,", _argument","[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5926]",FOUND,2
401,{ pair },"[432, 5926]",FOUND,21
402,global_variable,[745],NOT_FOUND,0
410,=> _arg,"[2207, 2206, 2168, 2532, 3192, 4307]",FOUND,1
413,global_variable,[939],FOUND,24
420,},"[2207, 2206, 2168, 2346, 3192, 4095, 5506]",FOUND,3
421,],"[2970, 3027, 3515, 3995, 5317, 5018, 5467, 5926]",FOUND,3
422,", _argument","[3005, 3027, 3515, 3995, 5317, 5442, 5815]",FOUND,2
424,""" _literal_contents )","[432, 5815]",FOUND,2
425,string_content,"[432, 5815, 5207]",FOUND,2
427,),"[5207, 5307, 5038]",FOUND,1
428,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
430,identifier,"[2142, 2145, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
434,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
435,identifier,[3136],FOUND,1
440,""" _literal_contents )","[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,6
441,string_content,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
462,),"[5084, 5307, 5096]",FOUND,2
464,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4442, 4515, 4770, 4868]",FOUND,2
468,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
469,identifier,[3136],FOUND,1
481,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 11, 2182, 2860, 3360, 4770, 4868]",FOUND,2
486,identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
490,. identifier,"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,7
491,identifier,[3080],FOUND,1
