Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
395,),"[5084, 5307, 5096]",FOUND,2
398,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
401,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
403,constant,[481],FOUND,1
411,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
412,identifier,[3136],FOUND,1
415,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
416,""" _literal_contents )",[428],FOUND,2
417,string_content,"[428, 5207]",FOUND,1
425,),"[5207, 5307, 5038]",FOUND,1
426,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
428,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
431,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
433,constant,[481],FOUND,1
441,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
442,identifier,[3136],FOUND,1
445,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
446,""" _literal_contents )",[428],FOUND,2
447,string_content,"[428, 5207]",FOUND,1
451,),"[5207, 5307, 5038]",FOUND,1
452,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
454,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
457,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
459,identifier,[481],FOUND,2
462,+ _arg,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,10
464,identifier,[920],FOUND,4
467,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2079, 2044, 2183, 2501, 3327, 2547, 3182, 3360, 4770, 4868]",FOUND,2
470,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
472,identifier,[481],FOUND,2
475,+ _arg,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,10
477,identifier,[920],FOUND,4
480,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2079, 2044, 2183, 2501, 3327, 2547, 3182, 3360, 4770, 4868]",FOUND,2
482,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
483,identifier,[3136],FOUND,1
490,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 11, 2182, 2860, 3360, 4770, 4868]",FOUND,2
492,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
493,identifier,[3136],FOUND,1
499,. identifier,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,3
500,identifier,[3136],FOUND,1
507,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 11, 2182, 2860, 3360, 4770, 4868]",FOUND,2
509,. _function_identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,12
510,identifier_suffix_token1,[3136],FOUND,2
520,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1927, 1928, 1930, 11, 2182, 2860, 3360, 4770, 4868]",FOUND,2
522,. _function_identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,12
523,identifier_suffix_token1,[3136],FOUND,2
533,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1927, 1928, 1930, 11, 2182, 2860, 3360, 4770, 4868]",FOUND,2
535,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
536,identifier,[3136],FOUND,1
