Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
391,),"[5084, 5307, 5096]",FOUND,2
393,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
398,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
400,{ pair hash_repeat1 },[481],FOUND,22
404,hash_key_symbol : _arg,[741],FOUND,2
408,: _arg,"[741, 5679]",FOUND,1
410,""" _literal_contents )","[749, 5526]",FOUND,3
411,string_content,"[749, 5526, 5207]",FOUND,1
415,),"[5207, 5307, 5038]",FOUND,1
416,", pair","[5307, 5038, 2835, 2807, 3192, 4095, 5526]",FOUND,7
420,hash_key_symbol : _arg,[752],FOUND,1
424,: _arg,"[752, 5679]",FOUND,1
426,%w( _literal_contents string_array_repeat1 ),"[749, 5618, 5508]",FOUND,20
429,string_content,"[749, 5618, 5508, 5027]",FOUND,9
438,string_array_token1 _literal_contents,"[5027, 5234, 4909]",FOUND,2
439,string_content,[5149],FOUND,1
442,string_array_token1 _literal_contents,"[5149, 5234, 5035, 5504]",FOUND,1
443,string_content,[5178],FOUND,1
450,string_array_token1 _literal_contents,"[5178, 5234, 5035, 5569, 5504]",FOUND,1
451,string_content,[5178],FOUND,1
454,),"[5178, 5234, 5035, 5569, 5504]",FOUND,3
456,},"[2881, 3027, 3192, 4095, 5618, 5508]",FOUND,4
459,constant,"[2142, 2145, 355, 346, 5593, 5883, 2397, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,6
463,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
464,identifier,[3136],FOUND,1
468,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
469,""" _literal_contents )",[428],FOUND,2
470,string_content,"[428, 5207]",FOUND,1
478,),"[5207, 5307, 5038]",FOUND,1
479,", _argument","[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,2
481,""" _literal_contents )","[432, 5815]",FOUND,2
482,string_content,"[432, 5815, 5207]",FOUND,2
483,),"[5207, 5307, 5038]",FOUND,1
484,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
486,{ block_parameters block_body },"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,6
488,| _formal_parameter |,[303],FOUND,4
489,identifier,[4572],FOUND,1
490,|,"[5315, 5245, 5374]",FOUND,1
492,constant,"[2156, 318]",FOUND,2
496,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,1
497,identifier,[3163],FOUND,1
501,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,4
502,identifier,[428],FOUND,1
506,", _argument","[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,2
508,identifier,"[432, 5815]",FOUND,3
509,),"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
511,},"[2455, 2255, 2376, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,7
