Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
393,),"[5084, 5307, 5096]",FOUND,2
494,class constant superclass _terminator body_statement end,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,10
500,constant superclass _terminator body_statement end,[1975],FOUND,2
509,< _expression,"[125, 4668, 5420, 5447, 2041, 217]",FOUND,3
511,constant,[540],FOUND,1
517,:: constant,"[1909, 23, 2476, 3417, 4008, 5369, 5496]",FOUND,3
519,constant,[3135],FOUND,1
528,def _method_rest,"[2041, 240, 1936, 22, 2476, 3417, 4008, 5369, 5496, 2108]",FOUND,4
532,identifier,[2466],FOUND,1
542,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
543,*,[4611],FOUND,6
544,),"[4759, 5283, 5245, 5499]",FOUND,1
550,super,"[2041, 238, 2084, 149]",FOUND,8
560,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,2
574,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,15
581,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5846, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
585,identifier,[2466],FOUND,1
595,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
596,identifier,[4611],FOUND,1
601,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
603,identifier,[4622],FOUND,1
608,", _formal_parameter","[5461, 5245, 5268, 5515]",FOUND,2
610,identifier,[4622],FOUND,1
616,),"[5461, 5245, 5268, 5567, 5515]",FOUND,1
622,identifier,"[2041, 238, 2109, 149]",FOUND,2
638,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,2
647,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,15
654,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5846, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,6
658,identifier,[2466],FOUND,1
663,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
664,identifier,[4611],FOUND,1
670,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
672,identifier,[4622],FOUND,1
678,),"[5461, 5245, 5268, 5515]",FOUND,1
684,identifier,"[2041, 238, 2109, 149]",FOUND,2
693,end,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,14
699,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5846, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,3
712,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5846]",FOUND,11
719,", _argument","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5846, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515]",FOUND,9
721,simple_symbol,[451],FOUND,3
731,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5846, 2380, 2376, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4626]",FOUND,5
735,identifier,[2466],FOUND,1
745,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
746,identifier,[4611],FOUND,1
753,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
755,identifier,[4622],FOUND,1
761,),"[5461, 5245, 5268, 5515]",FOUND,1
767,instance_variable,"[2041, 238, 2109, 149]",FOUND,3
776,<< _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,12
779,identifier,[1219],FOUND,1
786,. identifier,"[2079, 2044, 2139, 2501, 2794, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
787,identifier,[3133],FOUND,1
790,( _argument_list_with_trailing_comma ),"[2078, 2046, 2139, 2501, 2794, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,8
791,/ _literal_contents ),[428],FOUND,7
792,string_content,"[428, 5111]",FOUND,7
793,escape_sequence,"[5111, 5307, 5145]",FOUND,3
