Location,Ground_Truth,State_List,Coverage_Result,Rank
409,constant,"[1, 5883]",FOUND,3
414,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,3
415,identifier,[3136],FOUND,1
424,constant,"[1930, 11, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
432,do _terminator body_statement end,"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4442, 4515, 4770, 4861, 5593, 5883]",FOUND,4
437,identifier,"[2041, 179, 164]",FOUND,2
440,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,4
441,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656, 5084]",FOUND,3
461,),"[5084, 5307, 5096]",FOUND,2
463,do _terminator body_statement end,"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5656]",FOUND,3
470,identifier,"[2041, 179, 164]",FOUND,2
476,( _argument_list_with_trailing_comma ),"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,6
477,constant,[428],FOUND,3
484,:: constant,"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,5
486,constant,[3081],FOUND,1
493,),"[1943, 37, 2499, 3515, 3995, 5317, 5442, 5815, 2221]",FOUND,1
494,. identifier,"[2455, 2257, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,1
495,identifier,[3163],FOUND,1
502,identifier,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,7
505,nil,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4442, 4515, 4589, 4625, 4944, 5777, 5656]",FOUND,43
511,end,"[2041, 2053, 252, 4944, 5777, 5656, 2101, 2108, 2124, 2506, 2696, 4482, 4522, 4464, 4515, 4442, 4589, 4625]",FOUND,3
515,end,"[2041, 2053, 252, 4944, 5777, 5656, 4370, 4435, 4471, 4589, 4625]",FOUND,3
