Location,Ground_Truth,State_List,Coverage_Result,Rank
378,while _statement do,"[1, 5883]",FOUND,35
384,( _statements ),[410],FOUND,3
385,identifier,[329],FOUND,1
390,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5760]",FOUND,3
392,identifier,[462],FOUND,1
396,),"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 5760]",FOUND,8
400,identifier,"[2041, 360, 2354, 2376, 2968, 3520, 4837, 4870]",FOUND,2
407,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5954]",FOUND,4
408,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5954, 5084]",FOUND,3
423,),"[5084, 5307, 5096]",FOUND,2
424,", _argument","[5307, 5096, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5954]",FOUND,4
426,constant,[451],FOUND,6
430,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4625, 5954]",FOUND,4
431,identifier,[3097],FOUND,1
437,", _argument","[1911, 7, 2124, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4625, 5954]",FOUND,5
439,constant,[451],FOUND,6
443,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4625, 5954]",FOUND,4
444,identifier,[3097],FOUND,1
452,", _argument","[1911, 7, 2124, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4625, 5954]",FOUND,5
454,constant,[451],FOUND,6
458,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4625, 5954]",FOUND,4
459,identifier,[3097],FOUND,1
463,. identifier,"[1911, 7, 2124, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4625, 5954]",FOUND,3
464,identifier,[3097],FOUND,1
470,", _argument","[1911, 7, 2124, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4625, 5954]",FOUND,5
472,identifier,[451],FOUND,2
477,end,"[2041, 2053, 252, 5954, 1714, 2, 2124, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4625]",FOUND,32
