Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
395,),"[5084, 5307, 5096]",FOUND,2
398,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
405,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
407,constant,[481],FOUND,1
419,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
420,identifier,[3136],FOUND,1
425,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
431,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
432,identifier,[3136],FOUND,1
434,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
435,""" _literal_contents )",[428],FOUND,2
436,string_content,"[428, 5207]",FOUND,1
438,),"[5207, 5307, 5038]",FOUND,1
439,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
441,do _terminator body_statement end,"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,8
446,identifier,"[2041, 170, 147]",FOUND,3
451,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,4
452,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833, 5084]",FOUND,3
471,),"[5084, 5307, 5096]",FOUND,2
475,true,"[2041, 2053, 252, 4944, 5777, 5833, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,54
480,end,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2108, 2132, 2552, 2812, 4589, 4626]",FOUND,13
485,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2375, 2448, 2376, 2860, 3360, 4770, 4868]",FOUND,2
491,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
492,identifier,[3136],FOUND,1
494,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
495,""" _literal_contents )",[428],FOUND,2
496,string_content,"[428, 5207]",FOUND,1
502,),"[5207, 5307, 5038]",FOUND,1
503,", _argument","[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,2
505,""" _literal_contents )","[432, 5815]",FOUND,2
506,string_content,"[432, 5815, 5207]",FOUND,2
509,),"[5207, 5307, 5038]",FOUND,1
510,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
512,do block_parameters _terminator body_statement end,"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
515,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
516,identifier,[4575],FOUND,1
521,|,"[5315, 5245, 5489]",FOUND,1
525,identifier,"[2041, 242, 2118, 194]",FOUND,2
530,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
531,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923, 5084]",FOUND,3
548,#{ _statements },"[5084, 5307, 5096]",FOUND,4
550,identifier,[357],FOUND,1
555,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
556,),"[5302, 5307, 5177, 5096]",FOUND,1
560,identifier,"[2041, 2053, 252, 4944, 5777, 5923, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
566,end,"[2041, 2053, 257, 252, 4944, 5777, 5923, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,16
571,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2408, 2448, 2376, 2860, 3360, 4770, 4868]",FOUND,2
579,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
581,{ },[481],FOUND,9
582,},[741],FOUND,1
584,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2391, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
590,. _function_identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,12
591,_identifier_suffix,[3136],FOUND,3
597,( _argument_list_with_trailing_comma ),"[3136, 1927, 1928, 1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,8
598,hash_key_symbol : _arg,[428],FOUND,9
602,: _arg,"[428, 5679]",FOUND,7
604,identifier,"[749, 5002, 5442, 5815]",FOUND,3
611,),"[2206, 2168, 2346, 3192, 4095, 5002, 5442, 5815]",FOUND,1
614,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3360, 4770, 4868]",FOUND,2
616,constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,10
621,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
623,identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
