Location,Ground_Truth,State_List,Coverage_Result,Rank
378,def _method_rest,"[1, 5883]",FOUND,13
382,identifier,[2301],FOUND,1
397,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
398,identifier,[4611],FOUND,1
401,),"[5461, 5245, 5499]",FOUND,1
405,_terminator body_statement end,"[2084, 150]",FOUND,2
449,identifier,"[2041, 238, 2084, 150]",FOUND,1
451,", _lhs","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,22
453,identifier,"[1960, 5630, 5811]",FOUND,1
456,= right_assignment_list,"[4773, 4668, 5022, 5304, 5630, 5811, 5471]",FOUND,3
458,integer,[462],FOUND,6
459,", _arg","[2226, 2286, 2380, 2376, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5810, 5554]",FOUND,31
461,integer,[812],FOUND,4
465,while _statement do,"[2041, 2053, 252, 4944, 5777, 5810, 2226, 2286, 2380, 2376, 2501, 2741, 2700, 2613, 2547, 2812, 4589, 4625, 5554]",FOUND,63
471,identifier,[410],FOUND,1
474,<= _arg,"[1909, 32, 2201, 2968, 3520, 4837, 4870]",FOUND,20
477,identifier,[1053],FOUND,1
485,yield argument_list,"[2041, 360, 2079, 2048, 2202, 3000, 3488, 2547, 3520, 4837, 4870]",FOUND,18
491,identifier,"[51, 2376, 2552, 2812, 4589, 4625, 5954]",FOUND,35
498,identifier,"[2041, 2053, 252, 5954, 1167, 5, 2136, 2552, 2773, 4482, 4565, 4486, 4509, 4589, 4625]",FOUND,2
500,", _lhs","[1909, 3, 2132, 2552, 2812, 4589, 4626, 5954]",FOUND,21
502,identifier,"[1960, 5630, 5811]",FOUND,1
505,= right_assignment_list,"[4773, 4668, 5022, 5304, 5630, 5811, 5471]",FOUND,3
507,identifier,[462],FOUND,1
509,", _arg","[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 5954]",FOUND,28
511,identifier,[812],FOUND,1
514,+ _arg,"[2079, 2044, 2140, 2501, 2741, 2700, 2613, 2547, 2812, 4589, 4626, 5954]",FOUND,13
516,identifier,[1251],FOUND,1
521,end,"[2041, 2053, 257, 252, 5954, 2079, 2044, 2140, 2501, 2746, 2547, 2741, 2700, 2613, 2812, 4589, 4626]",FOUND,40
525,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 2338, 2372, 2376, 2552, 2812, 4589, 4626]",FOUND,12
530,identifier,"[2142, 2145, 346, 5593, 5883, 2393, 2287, 2376, 2860, 3360, 4770, 4861]",FOUND,1
545,( _argument_list_with_trailing_comma ),"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
546,integer,[428],FOUND,6
550,),"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5815, 5560]",FOUND,1
552,{ block_parameters block_body },"[2455, 2257, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,8
554,| _formal_parameter |,[303],FOUND,4
555,identifier,[4572],FOUND,1
556,|,"[5315, 5245, 5374]",FOUND,1
558,identifier,"[2156, 318]",FOUND,1
564,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,14
565,", _argument","[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5893, 5814]",FOUND,4
567,""" _literal_contents )",[451],FOUND,1
568,string_content,"[451, 5084]",FOUND,1
569,),"[5084, 5307, 5096]",FOUND,2
571,},"[2259, 2254, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4625, 5893, 5814]",FOUND,4
573,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2369, 2452, 2376, 2860, 3360, 4770, 4868]",FOUND,2
