Location,Ground_Truth,State_List,Coverage_Result,Rank
378,def _method_rest,"[1, 5883]",FOUND,10
382,identifier,[2301],FOUND,1
386,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
387,identifier,[4611],FOUND,1
390,),"[5461, 5245, 5499]",FOUND,1
394,identifier,"[2041, 238, 2084, 150]",FOUND,1
398,( _argument_list_with_trailing_comma ),"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,5
399,identifier,[428],FOUND,1
402,", _argument","[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,2
404,constant,"[432, 5815]",FOUND,6
420,),"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
424,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 2455, 2257, 2376, 2552, 2812, 4589, 4625]",FOUND,2
431,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,4
432,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810, 5084]",FOUND,3
444,escape_sequence,"[5084, 5307, 5096]",FOUND,3
446,),"[5307, 5177, 5096]",FOUND,1
447,", _argument","[5307, 5177, 5096, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 4944, 5777, 5810]",FOUND,5
449,identifier,[451],FOUND,2
452,", _argument","[1714, 2, 2124, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4626, 4944, 5777, 5810]",FOUND,7
454,identifier,[451],FOUND,2
458,( _argument_list_with_trailing_comma ),"[1714, 2, 2124, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4626, 4944, 5777, 5810]",FOUND,4
459,""" _literal_contents )",[428],FOUND,2
460,string_content,"[428, 5207]",FOUND,1
469,),"[5207, 5307, 5038]",FOUND,1
470,", _argument","[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,2
472,constant,"[432, 5815]",FOUND,6
488,),"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
490,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 2455, 2264, 2376, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4626]",FOUND,8
