Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
395,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
396,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
413,),"[5084, 5307, 5096]",FOUND,2
416,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
425,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
427,""" _literal_contents )",[481],FOUND,3
428,string_content,"[481, 5084]",FOUND,1
713,),"[5084, 5307, 5096]",FOUND,2
716,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2234, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
721,identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
738,( _argument_list_with_trailing_comma ),"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,16
739,identifier,[428],FOUND,1
747,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
751,. identifier,"[2455, 2264, 2376, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,8
752,identifier,[3080],FOUND,1
760,. identifier,"[1930, 9, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,7
761,identifier,[3080],FOUND,1
769,{ block_parameters block_body },"[1930, 9, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,25
771,| _formal_parameter parameters_repeat1 |,[259],FOUND,6
772,identifier,[4572],FOUND,1
776,", _formal_parameter","[5315, 5245, 5374]",FOUND,2
778,identifier,[4590],FOUND,1
783,|,"[5315, 5245, 5268, 5350]",FOUND,1
785,identifier,"[2163, 318]",FOUND,1
791,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,11
795,. identifier,"[2369, 2308, 2376, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,8
796,identifier,[3080],FOUND,1
800,{ block_parameters block_body },"[1930, 9, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,25
802,| _formal_parameter |,[259],FOUND,2
803,identifier,[4572],FOUND,1
809,|,"[5315, 5245, 5374]",FOUND,1
811,identifier,"[2156, 318]",FOUND,1
816,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,4
817,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814, 5084]",FOUND,3
831,#{ _statements },"[5084, 5307, 5096]",FOUND,4
833,identifier,[357],FOUND,1
839,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
840,escape_sequence,"[5302, 5307, 5177, 5096]",FOUND,2
842,escape_sequence,"[5307, 5177, 5096]",FOUND,2
844,),"[5307, 5177, 5096]",FOUND,1
846,},"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5893, 5814]",FOUND,5
850,. identifier,"[2369, 2308, 2376, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,8
851,identifier,[3080],FOUND,1
855,( _argument_list_with_trailing_comma ),"[1930, 9, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,9
856,integer,[428],FOUND,6
