Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
395,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
396,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
413,),"[5084, 5307, 5096]",FOUND,2
415,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
432,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
433,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
448,),"[5084, 5307, 5096]",FOUND,2
451,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
460,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
462,""" _literal_contents )",[481],FOUND,3
463,string_content,"[481, 5084]",FOUND,1
748,),"[5084, 5307, 5096]",FOUND,2
751,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2234, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
761,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
763,identifier,[481],FOUND,2
780,( _argument_list_with_trailing_comma ),"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,13
781,identifier,[428],FOUND,1
789,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
791,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2257, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
798,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
800,identifier,[481],FOUND,2
815,( _argument_list_with_trailing_comma ),"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,13
816,identifier,[428],FOUND,1
825,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
827,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2257, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
834,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
836,identifier,[481],FOUND,2
842,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
843,identifier,[3136],FOUND,1
851,{ block_parameters block_body },"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,12
853,| _formal_parameter parameters_repeat1 |,[254],FOUND,3
854,identifier,[4572],FOUND,1
858,", _formal_parameter","[5315, 5245, 5374]",FOUND,2
860,identifier,[4590],FOUND,1
865,|,"[5315, 5245, 5268, 5350]",FOUND,1
867,identifier,"[2163, 318]",FOUND,1
873,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,11
875,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2369, 2308, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
884,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
886,identifier,[481],FOUND,2
892,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
893,identifier,[3136],FOUND,1
897,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
898,integer,[428],FOUND,6
899,),"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5815, 5560]",FOUND,1
902,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
910,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
911,identifier,[3136],FOUND,1
924,do block_parameters _terminator body_statement end,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,11
927,| _formal_parameter parameters_repeat1 |,"[147, 2041, 170]",FOUND,4
928,identifier,[4575],FOUND,1
932,", _formal_parameter","[5315, 5245, 5489]",FOUND,2
934,identifier,[4588],FOUND,1
939,|,"[5315, 5245, 5268, 5372]",FOUND,1
943,identifier,"[2041, 242, 2120, 194]",FOUND,2
948,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
949,#{ _statements },"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923, 5084]",FOUND,28
951,identifier,[357],FOUND,1
955,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
956,string_content,"[5302, 5307, 5096]",FOUND,3
959,#{ _statements },"[5302, 5307, 5096, 5177]",FOUND,4
961,identifier,[357],FOUND,1
966,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
967,),"[5302, 5307, 5177, 5096]",FOUND,1
969,end,"[2041, 2053, 252, 4944, 5777, 5923, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,9
