Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
388,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
390,constant,[481],FOUND,1
394,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,2
395,identifier,[3136],FOUND,1
399,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,5
400,""" _literal_contents )",[428],FOUND,2
401,string_content,"[428, 5207]",FOUND,1
409,),"[5207, 5307, 5038]",FOUND,1
410,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
412,identifier,"[2142, 2145, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
417,( _argument_list_with_trailing_comma ),"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
418,simple_symbol,[428],FOUND,4
423,),"[428, 3026, 3027, 3515, 3995, 5317, 5442, 5815]",FOUND,1
425,do _terminator body_statement end,"[2455, 2257, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,6
430,identifier,"[2041, 170, 147]",FOUND,3
437,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,3
439,[ ],[462],FOUND,8
440,],[424],FOUND,2
444,while _statement do,"[2041, 2053, 252, 4944, 5777, 5833, 2437, 2376, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,69
450,( _statements ),[410],FOUND,3
451,identifier,[329],FOUND,1
456,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5760]",FOUND,3
458,identifier,[462],FOUND,1
467,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 5760]",FOUND,1
468,identifier,[3163],FOUND,1
472,),"[1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 5760]",FOUND,8
478,identifier,"[2041, 360, 2354, 2376, 2968, 3520, 4837, 4870]",FOUND,2
483,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5954]",FOUND,3
485,identifier,[462],FOUND,1
489,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 5954]",FOUND,1
490,identifier,[3163],FOUND,1
500,identifier,"[2041, 2053, 252, 5954, 1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,2
506,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 5954]",FOUND,11
512,unless _expression,"[2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 5954]",FOUND,9
519,/ _literal_contents ),[521],FOUND,8
520,string_content,"[521, 5048]",FOUND,1
521,escape_sequence,"[5048, 5307, 5167]",FOUND,2
523,string_content,"[5307, 5177, 5167]",FOUND,2
525,),"[5307, 5177, 5167]",FOUND,3
526,. _function_identifier,"[5307, 5177, 5167, 2335, 2376, 2552, 2812, 4597, 4579, 4626, 5954]",FOUND,6
527,identifier_suffix_token1,[3163],FOUND,2
533,( _argument_list_with_trailing_comma ),"[1915, 1914, 1911, 4, 2132, 2552, 2812, 4597, 4579, 4626, 5954]",FOUND,4
534,identifier,[428],FOUND,1
538,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
544,identifier,"[2041, 2053, 257, 252, 5954, 2455, 2255, 2376, 2552, 2812, 4597, 4579, 4626]",FOUND,3
551,<< _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 5954]",FOUND,12
554,identifier,[1219],FOUND,1
561,end,"[2041, 2053, 257, 252, 5954, 2079, 2044, 2139, 2501, 2794, 2547, 2812, 4589, 4626]",FOUND,39
567,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2338, 2372, 2376, 2552, 2812, 4589, 4626]",FOUND,3
572,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833]",FOUND,14
578,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 4944, 5777, 5833]",FOUND,6
579,identifier,[3097],FOUND,1
587,end,"[2041, 2053, 257, 252, 4944, 5777, 5833, 1911, 7, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,10
