Location,Ground_Truth,State_List,Coverage_Result,Rank
378,def _method_rest,"[1, 5883]",FOUND,13
382,identifier,[2301],FOUND,1
396,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
397,identifier,[4611],FOUND,1
403,),"[5461, 5245, 5499]",FOUND,1
407,identifier,"[2041, 238, 2084, 150]",FOUND,1
413,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,14
422,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
426,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
428,identifier,[462],FOUND,1
436,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,2
437,identifier,[3163],FOUND,1
445,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,3
451,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,12
467,if _expression,"[2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 4944, 5777, 5810]",FOUND,8
470,identifier,[520],FOUND,1
474,== _arg,"[1909, 3, 2132, 2552, 2812, 4594, 4579, 4626, 4944, 5777, 5810]",FOUND,7
477,""" _literal_contents )",[1220],FOUND,1
478,string_content,"[1220, 5084]",FOUND,1
479,),"[5084, 5307, 5096]",FOUND,2
483,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5810, 2259, 2234, 2501, 2776, 2547, 2812, 4594, 4579, 4626]",FOUND,2
487,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,15
492,identifier,"[2142, 2145, 346, 5593, 5883, 2393, 2287, 2376, 2860, 3360, 4770, 4861]",FOUND,1
498,simple_symbol,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,6
514,do _terminator body_statement end,"[2380, 2376, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,1
519,identifier,"[2041, 179, 164]",FOUND,2
524,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,3
526,identifier,[462],FOUND,1
540,( _argument_list_with_trailing_comma ),"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,8
541,""" _literal_contents )",[428],FOUND,2
542,string_content,"[428, 5207]",FOUND,1
548,),"[5207, 5307, 5038]",FOUND,1
549,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
553,identifier,"[2041, 2053, 252, 4944, 5777, 5656, 2455, 2257, 2376, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,2
557,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,3
559,identifier,[462],FOUND,1
573,( _argument_list_with_trailing_comma ),"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,9
574,""" _literal_contents )",[428],FOUND,2
575,string_content,"[428, 5207]",FOUND,1
581,),"[5207, 5307, 5038]",FOUND,1
582,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
586,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5656, 2455, 2257, 2376, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,3
590,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,3
592,identifier,[462],FOUND,1
606,( _argument_list_with_trailing_comma ),"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,9
607,""" _literal_contents )",[428],FOUND,2
608,string_content,"[428, 5207]",FOUND,1
614,),"[5207, 5307, 5038]",FOUND,1
615,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
648,end,"[2041, 2053, 257, 252, 4944, 5777, 5656, 2455, 2257, 2376, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,4
