Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
395,),"[5084, 5307, 5096]",FOUND,2
398,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
408,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
410,""" _literal_contents )",[481],FOUND,3
411,string_content,"[481, 5084]",FOUND,1
421,),"[5084, 5307, 5096]",FOUND,2
423,constant,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2234, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,5
426,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
427,identifier,[3136],FOUND,1
431,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
432,""" _literal_contents )",[428],FOUND,2
433,string_content,"[428, 5207]",FOUND,1
459,#{ _statements },"[5207, 5307, 5038]",FOUND,4
461,identifier,[357],FOUND,1
470,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
471,),"[5302, 5307, 5177, 5038]",FOUND,1
472,),"[5302, 5307, 5177, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
474,do block_parameters _terminator body_statement end,"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
477,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
478,identifier,[4575],FOUND,1
486,|,"[5315, 5245, 5489]",FOUND,1
490,identifier,"[2041, 242, 2118, 194]",FOUND,2
497,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,3
499,constant,[462],FOUND,2
503,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
504,identifier,[3163],FOUND,1
508,( _argument_list_with_trailing_comma ),"[1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
509,identifier,[428],FOUND,1
518,", _argument","[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,2
520,""" _literal_contents )","[432, 5815]",FOUND,2
521,string_content,"[432, 5815, 5207]",FOUND,2
522,),"[5207, 5307, 5038]",FOUND,1
523,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
527,begin _terminator _body_statement end,"[2041, 2053, 252, 4944, 5777, 5923, 2455, 2255, 2376, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,38
537,while _statement do,"[2041, 247, 199]",FOUND,13
543,( _statements ),[410],FOUND,3
544,identifier,[329],FOUND,1
549,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5760]",FOUND,3
551,identifier,[462],FOUND,1
559,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 5760]",FOUND,1
560,identifier,[3163],FOUND,1
564,),"[1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 5760]",FOUND,8
572,identifier,"[2041, 360, 2354, 2376, 2968, 3520, 4837, 4870]",FOUND,2
578,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5954]",FOUND,1
579,identifier,[3163],FOUND,1
584,identifier,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5954]",FOUND,6
593,end,"[2041, 2053, 252, 5954, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4442, 4515, 4589, 4625]",FOUND,31
601,identifier,"[2041, 2053, 252, 4944, 5983, 2338, 2372, 2376, 2552, 2812, 4589, 4625]",FOUND,2
607,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5983]",FOUND,2
608,identifier,[3163],FOUND,1
616,rescue exceptions then,"[2041, 2053, 257, 252, 4944, 5983, 1911, 4, 2132, 2552, 2812, 4589, 4626]",FOUND,52
623,constant,"[677, 2041, 282, 5404, 4995, 5983]",FOUND,2
641,global_variable,"[2041, 281, 5404, 4995, 5983, 2079, 2044, 2487, 2501, 3922, 5060]",FOUND,30
648,. identifier,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5482, 5404, 4995, 5983]",FOUND,1
