Location,Ground_Truth,State_List,Coverage_Result,Rank
378,def _method_rest,"[1, 5883]",FOUND,13
382,identifier,[2301],FOUND,1
391,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
392,identifier,[4611],FOUND,1
405,),"[5461, 5245, 5499]",FOUND,1
409,identifier,"[2041, 238, 2084, 150]",FOUND,1
414,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
416,instance_variable,[462],FOUND,4
423,. identifier,"[1910, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
424,identifier,[3163],FOUND,1
428,( _argument_list_with_trailing_comma ),"[1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
429,integer,[428],FOUND,6
432,),"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5815, 5560]",FOUND,1
436,if _statement then end,"[2041, 2053, 252, 4944, 5777, 5810, 2455, 2255, 2376, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,20
439,identifier,[406],FOUND,1
443,. _function_identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4839]",FOUND,7
444,identifier_suffix_token1,[3163],FOUND,2
453,identifier,"[2041, 264, 1915, 1914, 1911, 4, 2132, 2552, 2812, 4589, 4839]",FOUND,4
459,constant,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5300]",FOUND,14
473,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5095, 5300]",FOUND,5
474,identifier,[3097],FOUND,1
477,( _argument_list_with_trailing_comma ),"[1911, 7, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5095, 5300]",FOUND,6
478,identifier,[428],FOUND,1
492,< _arg,"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,54
494,integer,[1509],FOUND,1
496,),"[2813, 3068, 3026, 3027, 3192, 3838, 3465, 3995, 5317, 5442, 5815, 5560]",FOUND,1
497,", _argument","[2455, 2261, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5095, 5300]",FOUND,3
499,""" _literal_contents )",[451],FOUND,1
500,string_content,"[451, 5084]",FOUND,1
520,),"[5084, 5307, 5096]",FOUND,2
524,end,"[2041, 2053, 252, 5095, 5300, 2259, 2254, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4625]",FOUND,11
553,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 2356, 2376, 2552, 2812, 4589, 4626]",FOUND,12
