Location,Ground_Truth,State_List,Coverage_Result,Rank
378,class constant superclass _terminator body_statement end,"[1, 5883]",FOUND,16
384,constant superclass _terminator body_statement end,[1975],FOUND,2
399,< _expression,"[125, 4668, 5420, 5447]",FOUND,3
401,constant,[540],FOUND,1
416,identifier,"[2041, 240, 1909, 23, 2476, 3417, 4008, 5369, 5496]",FOUND,5
428,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5846]",FOUND,10
443,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5846, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,4
447,identifier,[2466],FOUND,1
457,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
458,identifier,[4611],FOUND,1
469,),"[5461, 5245, 5499]",FOUND,1
475,instance_variable,"[2041, 238, 2084, 149]",FOUND,3
488,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
490,identifier,[462],FOUND,1
504,end,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,11
508,end,"[2041, 2053, 257, 252, 4944, 5777, 5846, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,21
