Location,Ground_Truth,State_List,Coverage_Result,Rank
378,class constant _terminator body_statement end,"[1, 5883]",FOUND,5
384,constant _terminator body_statement end,[1975],FOUND,1
391,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
395,identifier =,[2466],FOUND,5
398,=,"[4745, 4557, 5621]",FOUND,9
399,( _formal_parameter ),"[4455, 4443, 4557]",FOUND,2
400,identifier,[4611],FOUND,1
403,),"[5461, 5245, 5499]",FOUND,1
409,instance_variable,"[2041, 238, 2084, 149]",FOUND,3
414,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
416,identifier,[462],FOUND,1
424,return argument_list,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,29
431,integer,"[49, 2376, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,66
436,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 2226, 2286, 2380, 2376, 2552, 2773, 4482, 4565, 4491, 4509, 4589, 4626, 5554]",FOUND,11
440,end,"[2041, 2053, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,21
447,identifier,"[2142, 2145, 346, 5593, 5883, 2311, 2376, 2860, 3360, 4770, 4861]",FOUND,1
449,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
451,constant,[481],FOUND,1
455,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
456,identifier,[3136],FOUND,1
460,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
467,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
469,( _statements ),[481],FOUND,16
470,identifier,[329],FOUND,1
471,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5760]",FOUND,1
472,identifier,[3163],FOUND,1
476,= _arg,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5760]",FOUND,3
478,integer,[462],FOUND,6
479,),"[2226, 2286, 2380, 2376, 2552, 2715, 2547, 2812, 4589, 4625, 5760, 5554]",FOUND,7
481,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2354, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
