Location,Ground_Truth,State_List,Coverage_Result,Rank
378,def _method_rest,"[1, 5883]",FOUND,10
382,identifier,[2301],FOUND,1
393,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
394,identifier,[4611],FOUND,1
399,),"[5461, 5245, 5499]",FOUND,1
403,case _statement _terminator case_match_repeat1 else end,"[2041, 238, 2084, 150]",NOT_FOUND,0
408,identifier,"[283, 386, 5250]",FOUND,1
416,in _pattern_top_expr_body then,"[5437, 4908, 1909, 3, 2132, 2552, 2812, 4589, 4610]",FOUND,63
419,[ _find_pattern_body ],[2019],FOUND,7
420,*,[2071],FOUND,6
421,", _pattern_expr","[4759, 4972, 5638, 5909]",FOUND,3
423,{ _hash_pattern_body },[2152],FOUND,1
424,identifier : _pattern_expr,[4614],FOUND,1
428,: _pattern_expr,[5892],FOUND,1
430,""" _literal_contents )","[2060, 4930, 5701]",FOUND,3
431,string_content,"[2060, 4930, 5701, 5085]",FOUND,1
434,),"[5085, 5307, 5112]",FOUND,1
435,", keyword_pattern","[5307, 5112, 4666, 4702, 4692, 4746, 4819, 4756, 4863, 4858, 4930, 5701]",FOUND,2
437,identifier : _pattern_expr,"[4495, 5701]",FOUND,2
441,: _pattern_expr,[5892],FOUND,1
443,constant,"[2060, 4926, 4916, 5701]",FOUND,11
450,=> identifier,"[4653, 4656, 4819, 4756, 4863, 4858, 4926, 4916, 5701]",NOT_FOUND,0
453,identifier,[5770],FOUND,1
454,},"[4866, 4863, 4858, 4926, 4916, 5701]",FOUND,1
455,", splat_parameter","[4783, 4819, 4756, 4863, 4894, 5028, 5638, 5909]",FOUND,2
457,*,[2138],FOUND,1
458,],"[4759, 5011, 5774]",FOUND,2
464,""" _literal_contents )","[2041, 297, 5532, 5262, 4469, 4446, 4732, 4480, 4812, 4828]",NOT_FOUND,0
465,string_content,"[2041, 297, 5532, 5262, 5084]",FOUND,1
494,#{ _statements },"[5084, 5307, 5096]",FOUND,4
496,identifier,[357],FOUND,1
497,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
498,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
499,),"[5302, 5307, 5177, 5096]",FOUND,1
503,in _pattern_top_expr_body then,"[2041, 2053, 252, 5095, 5544, 5532, 5262, 2259, 2234, 2552, 2812, 4589, 4625]",FOUND,115
506,[ _find_pattern_body ],[2019],FOUND,7
507,*,[2071],FOUND,6
508,", _pattern_expr","[4759, 4972, 5638, 5909]",FOUND,3
510,{ _hash_pattern_body },[2152],FOUND,1
511,identifier : _pattern_expr,[4614],FOUND,1
515,: _pattern_expr,[5892],FOUND,1
517,identifier,"[2060, 4930, 5701]",FOUND,8
518,", keyword_pattern","[4819, 4756, 4863, 4858, 4930, 5701]",FOUND,1
520,identifier : _pattern_expr,"[4495, 5701]",FOUND,2
524,: _pattern_expr,[5892],FOUND,1
526,""" _literal_contents )","[2060, 4926, 4916, 5701]",FOUND,2
527,string_content,"[2060, 4926, 4916, 5701, 5085]",FOUND,1
535,),"[5085, 5307, 5112]",FOUND,1
536,},"[5307, 5112, 4666, 4702, 4692, 4746, 4819, 4756, 4863, 4858, 4926, 4916, 5701]",FOUND,2
537,", splat_parameter","[4783, 4819, 4756, 4863, 4894, 5028, 5638, 5909]",FOUND,2
539,*,[2138],FOUND,1
540,],"[4759, 5011, 5774]",FOUND,2
546,""" _literal_contents )","[2041, 297, 5532, 5326, 5262, 4469, 4446, 4732, 4480, 4812, 4828]",NOT_FOUND,0
547,string_content,"[2041, 297, 5532, 5326, 5262, 5084]",FOUND,1
579,#{ _statements },"[5084, 5307, 5096]",FOUND,4
581,identifier,[357],FOUND,1
582,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
583,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
584,),"[5302, 5307, 5177, 5096]",FOUND,1
588,in _pattern_top_expr_body then,"[2041, 2053, 252, 5095, 5544, 5532, 5326, 5262, 2259, 2234, 2552, 2812, 4589, 4625]",FOUND,115
591,[ _find_pattern_body ],[2019],FOUND,7
592,*,[2071],FOUND,6
593,", _pattern_expr","[4759, 4972, 5638, 5909]",FOUND,3
595,{ _hash_pattern_body },[2152],FOUND,1
596,identifier : _pattern_expr,[4614],FOUND,1
600,: _pattern_expr,[5892],FOUND,1
602,""" _literal_contents )","[2060, 4930, 5701]",FOUND,3
603,string_content,"[2060, 4930, 5701, 5085]",FOUND,1
608,),"[5085, 5307, 5112]",FOUND,1
609,", keyword_pattern","[5307, 5112, 4666, 4702, 4692, 4746, 4819, 4756, 4863, 4858, 4930, 5701]",FOUND,2
611,identifier :,"[4495, 5701]",FOUND,3
615,:,[5892],FOUND,2
616,},"[2060, 4926, 4916, 5701]",FOUND,1
617,", splat_parameter","[4783, 4819, 4756, 4863, 4894, 5028, 5638, 5909]",FOUND,2
619,*,[2138],FOUND,1
620,],"[4759, 5011, 5774]",FOUND,2
