Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
381,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
383,/ _literal_contents ),[481],FOUND,15
384,string_content,"[481, 5048]",FOUND,1
392,escape_sequence,"[5048, 5307, 5167]",FOUND,2
394,escape_sequence,"[5307, 5177, 5167]",FOUND,1
396,string_content,"[5307, 5177, 5167]",FOUND,2
405,escape_sequence,"[5307, 5177, 5167]",FOUND,1
407,escape_sequence,"[5307, 5177, 5167]",FOUND,1
409,string_content,"[5307, 5177, 5167]",FOUND,2
414,),"[5307, 5177, 5167]",FOUND,3
415,. identifier,"[5307, 5177, 5167, 2335, 2376, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,6
416,identifier,[3136],FOUND,1
421,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,5
422,""" _literal_contents )",[428],FOUND,2
423,string_content,"[428, 5207]",FOUND,1
430,),"[5207, 5307, 5038]",FOUND,1
431,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
433,""" _literal_contents )","[2142, 2145, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,70
434,string_content,"[2142, 2145, 346, 5593, 5883, 5084]",FOUND,1
442,#{ _statements },"[5084, 5307, 5096]",FOUND,4
444,identifier,[357],FOUND,1
446,[ _argument_list_with_trailing_comma ],"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,10
447,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807, 431]",FOUND,7
452,],"[431, 3026, 3027, 3515, 3995, 5317, 5442, 5683]",FOUND,3
453,},"[2061, 2108, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,7
454,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
463,#{ _statements },"[5302, 5307, 5177, 5096]",FOUND,4
465,identifier,[357],FOUND,1
467,[ _argument_list_with_trailing_comma ],"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,10
468,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807, 431]",FOUND,7
472,],"[431, 3026, 3027, 3515, 3995, 5317, 5442, 5683]",FOUND,3
473,},"[2061, 2108, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,7
474,),"[5302, 5307, 5177, 5096]",FOUND,1
