Location,Ground_Truth,State_List,Coverage_Result,Rank
378,constant,"[1, 5883]",FOUND,3
384,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,3
385,identifier,[3136],FOUND,1
404,= _arg,"[1930, 11, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,4
406,true,[481],FOUND,12
411,identifier,"[2142, 2145, 346, 5593, 5883, 2108, 2180, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
419,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
421,integer,[481],FOUND,4
422,. identifier,"[2226, 2286, 2380, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883, 5554]",FOUND,4
423,identifier,[3136],FOUND,1
428,. identifier,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
429,identifier,[3136],FOUND,1
433,do block_parameters _terminator body_statement end,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,22
436,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
437,identifier,[4575],FOUND,1
443,|,"[5315, 5245, 5489]",FOUND,1
447,constant,"[2041, 242, 2118, 194]",FOUND,3
453,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
454,identifier,[3163],FOUND,1
457,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
458,identifier,[428],FOUND,1
464,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
466,do block_parameters _terminator body_statement end,"[2455, 2255, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,16
469,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
470,identifier,[4575],FOUND,1
471,|,"[5315, 5245, 5489]",FOUND,1
477,identifier,"[2041, 242, 2118, 194]",FOUND,2
483,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
484,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923, 5084]",FOUND,3
489,),"[5084, 5307, 5096]",FOUND,2
491,if _expression,"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5923]",FOUND,8
494,identifier,[520],FOUND,1
496,== _arg,"[1909, 3, 2132, 2552, 2812, 4594, 4579, 4625, 4944, 5777, 5923]",FOUND,6
499,integer,[1220],FOUND,2
505,identifier,"[2041, 2053, 252, 4944, 5777, 5923, 2226, 2286, 2380, 2376, 2501, 2776, 2547, 2812, 4594, 4579, 4625, 5554]",FOUND,1
511,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,4
512,#{ _statements },"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5923, 5084]",FOUND,28
514,identifier,[357],FOUND,1
515,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
516,escape_sequence,"[5302, 5307, 5096]",FOUND,2
518,),"[5307, 5177, 5096]",FOUND,1
522,end,"[2041, 2053, 257, 252, 4944, 5777, 5923, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,10
526,end,"[2041, 2053, 252, 4944, 5777, 5923, 2408, 2448, 2376, 2552, 2812, 4589, 4625]",FOUND,11
531,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2408, 2306, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
536,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
537,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
544,),"[5084, 5307, 5096]",FOUND,2
546,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
553,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
554,identifier,[3136],FOUND,1
559,{ block_parameters block_body },"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
561,| _formal_parameter |,[255],FOUND,1
562,identifier,[4572],FOUND,1
563,|,"[5315, 5245, 5374]",FOUND,1
565,identifier,"[2156, 318]",FOUND,1
566,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,1
567,identifier,[3163],FOUND,1
572,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,10
574,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2369, 2308, 2376, 2860, 3360, 4770, 4868]",FOUND,2
579,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
580,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
584,),"[5084, 5307, 5096]",FOUND,2
