Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
384,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
386,constant,[481],FOUND,1
391,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,2
392,identifier,[3136],FOUND,1
396,do _terminator body_statement end,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,26
401,constant,"[2041, 170, 147]",FOUND,6
405,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,1
406,identifier,[3163],FOUND,1
413,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,4
414,""" _literal_contents )",[428],FOUND,2
415,string_content,"[428, 5207]",FOUND,1
425,),"[5207, 5307, 5038]",FOUND,1
426,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
428,do block_parameters _terminator body_statement end,"[2455, 2255, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,16
431,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
432,identifier,[4575],FOUND,1
436,|,"[5315, 5245, 5489]",FOUND,1
442,identifier,"[2041, 242, 2118, 194]",FOUND,2
446,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
447,identifier,[3163],FOUND,1
451,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
452,/ _literal_contents ),[428],FOUND,7
453,escape_sequence,"[428, 5111]",FOUND,15
455,string_content,"[5307, 5145]",FOUND,3
456,),"[5307, 5145, 5177]",FOUND,1
457,),"[5307, 5177, 5145, 2951, 3027, 3515, 3995, 5317, 5442, 5815]",FOUND,1
459,do block_parameters _terminator body_statement end,"[2455, 2255, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,16
462,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
463,identifier,[4575],FOUND,1
467,|,"[5315, 5245, 5489]",FOUND,1
475,constant,"[2041, 242, 2118, 194]",FOUND,3
480,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
481,identifier,[3163],FOUND,1
487,identifier,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,6
491,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4442, 4515, 4589, 4625, 4944, 5777, 5923]",FOUND,4
492,identifier,[3097],FOUND,1
505,end,"[2041, 2053, 252, 4944, 5777, 5923, 1911, 7, 2124, 2506, 2696, 4482, 4522, 4442, 4515, 4589, 4625]",FOUND,8
511,end,"[2041, 2053, 252, 4944, 5777, 5923, 2408, 2448, 2376, 2552, 2812, 4589, 4625]",FOUND,11
517,nil,"[2041, 2053, 252, 4944, 5777, 5833, 2408, 2448, 2376, 2552, 2812, 4589, 4625]",FOUND,83
521,end,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2101, 2108, 2132, 2552, 2812, 4589, 4626]",FOUND,13
526,identifier,"[2142, 2145, 346, 5593, 5883, 2375, 2306, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
533,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
535,constant,[481],FOUND,1
539,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
540,identifier,[3136],FOUND,1
543,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
544,integer,[428],FOUND,6
545,),"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5815, 5560]",FOUND,1
