Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
383,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
385,constant,[481],FOUND,1
390,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,2
391,identifier,[3136],FOUND,1
395,do _terminator body_statement end,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,30
400,identifier,"[2041, 170, 147]",FOUND,3
404,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,3
406,integer,[462],FOUND,6
410,identifier,"[2041, 2053, 252, 4944, 5777, 5833, 2226, 2286, 2380, 2376, 2552, 2715, 2547, 2812, 4589, 4625, 5554]",FOUND,2
415,do _terminator body_statement end,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833]",FOUND,16
422,constant,"[2041, 170, 147]",FOUND,6
427,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,1
428,identifier,[3163],FOUND,1
433,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,4
434,identifier,[428],FOUND,1
437,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
439,unless _expression,"[2455, 2255, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,15
446,identifier,[521],FOUND,1
450,% _arg,"[1909, 3, 2132, 2552, 2812, 4597, 4579, 4625, 4944, 5777, 5833]",FOUND,35
452,integer,[1175],FOUND,1
454,== _arg,"[2226, 2286, 2380, 2376, 2501, 2817, 2547, 2812, 4597, 4579, 4625, 4944, 5777, 5833, 5554]",FOUND,2
457,integer,[1220],FOUND,2
463,identifier,"[2041, 2053, 252, 4944, 5777, 5833, 2226, 2286, 2380, 2376, 2501, 2776, 2547, 2812, 4597, 4579, 4625, 5554]",FOUND,1
467,+= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833]",FOUND,28
470,integer,[493],FOUND,1
474,end,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2226, 2286, 2380, 2376, 2552, 2779, 2547, 2812, 4589, 4626, 5554]",FOUND,12
478,end,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2375, 2316, 2376, 2552, 2812, 4589, 4626]",FOUND,12
482,integer,"[2142, 2145, 346, 5593, 5883, 2375, 2306, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,36
484,. identifier,"[2226, 2286, 2380, 2376, 2860, 3360, 4770, 4868, 5593, 5883, 5554]",FOUND,4
485,identifier,[3136],FOUND,1
491,{ block_body },"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,34
493,identifier,[255],FOUND,2
499,identifier,"[1921, 3, 2132, 2552, 3539, 4589, 4625, 5893, 5885]",FOUND,12
503,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5893, 5885]",FOUND,6
504,identifier,[3097],FOUND,1
510,", _argument","[1911, 7, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5893, 5885]",FOUND,3
512,""" _literal_contents )",[451],FOUND,1
513,string_content,"[451, 5084]",FOUND,1
514,),"[5084, 5307, 5096]",FOUND,2
516,},"[2259, 2254, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4625, 5893, 5885]",FOUND,3
