Location,Ground_Truth,State_List,Coverage_Result,Rank
378,alias _method_name _method_name,"[1, 5883]",FOUND,28
384,simple_symbol,[2640],NOT_FOUND,0
395,simple_symbol,"[3202, 2631]",NOT_FOUND,0
402,def _method_rest,"[2142, 2145, 346, 5593, 5883, 4854, 4582, 4579, 4861]",FOUND,5
406,identifier,[2301],FOUND,1
411,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
412,identifier,[4611],FOUND,1
415,),"[5461, 5245, 5499]",FOUND,1
419,identifier,"[2041, 238, 2084, 150]",FOUND,1
429,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,14
435,identifier,"[2041, 2053, 252, 4944, 5777, 5810, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
441,float,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,88
447,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 2226, 2286, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 5554]",FOUND,9
451,global_variable,"[2142, 2145, 355, 346, 5593, 5883, 2393, 2287, 2376, 2860, 3360, 4770, 4868]",FOUND,13
458,. identifier,"[1929, 1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
459,identifier,[3136],FOUND,1
464,= _arg,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
466,true,[481],FOUND,12
471,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2108, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
475,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
477,integer,[481],FOUND,4
479,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2226, 2286, 2380, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5554]",FOUND,2
485,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
487,constant,[481],FOUND,1
493,:: constant,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,4
495,constant,[3088],FOUND,1
500,. identifier,"[1920, 2108, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883, 13]",FOUND,3
501,identifier,[3136],FOUND,1
505,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
513,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
515,integer,[481],FOUND,4
517,. identifier,"[2226, 2286, 2380, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883, 5554]",FOUND,4
518,identifier,[3136],FOUND,1
523,. identifier,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
524,identifier,[3136],FOUND,1
528,do _terminator body_statement end,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,26
533,constant,"[2041, 170, 147]",FOUND,6
539,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,1
540,identifier,[3163],FOUND,1
544,do _terminator body_statement end,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,28
551,integer,"[2041, 170, 147]",FOUND,21
558,. identifier,"[2226, 2286, 2380, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5833, 5554]",FOUND,1
559,identifier,[3163],FOUND,1
565,do _terminator body_statement end,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,28
574,identifier,"[2041, 170, 147]",FOUND,3
579,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,1
580,identifier,[3163],FOUND,1
592,do _terminator body_statement end,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,28
603,identifier,"[2041, 170, 147]",FOUND,3
613,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,3
615,identifier,[462],FOUND,1
619,+ _arg,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,14
621,integer,[1251],FOUND,2
631,identifier,"[2041, 2053, 252, 4944, 5777, 5833, 2226, 2286, 2380, 2376, 2501, 2746, 2547, 2715, 2812, 4589, 4625, 5554]",FOUND,1
637,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833]",FOUND,4
638,#{ _statements },"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833, 5084]",FOUND,28
640,identifier,[357],FOUND,1
649,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
650,string_content,"[5302, 5307, 5096]",FOUND,3
652,),"[5302, 5307, 5096, 5177]",FOUND,1
654,if _expression,"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 4944, 5777, 5833]",FOUND,7
657,identifier,[520],FOUND,1
667,% _arg,"[1909, 3, 2132, 2552, 2812, 4594, 4579, 4626, 4944, 5777, 5833]",FOUND,34
669,integer,[1175],FOUND,1
677,== _arg,"[2226, 2286, 2380, 2376, 2501, 2817, 2547, 2812, 4594, 4579, 4626, 4944, 5777, 5833, 5554]",FOUND,3
680,integer,[1220],FOUND,2
690,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2226, 2286, 2380, 2376, 2501, 2776, 2547, 2812, 4594, 4579, 4626, 5554]",FOUND,2
694,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833]",FOUND,3
696,identifier,[462],FOUND,1
712,end,"[2041, 2053, 257, 252, 4944, 5777, 5833, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,12
720,end,"[2041, 2053, 252, 4944, 5777, 5833, 2375, 2306, 2376, 2552, 2812, 4589, 4625]",FOUND,11
726,end,"[2041, 2053, 252, 4944, 5777, 5833, 2375, 2306, 2376, 2552, 2812, 4589, 4625]",FOUND,11
730,end,"[2041, 2053, 252, 4944, 5777, 5833, 2375, 2306, 2376, 2552, 2812, 4589, 4625]",FOUND,11
735,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2375, 2306, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
742,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
743,identifier,[3136],FOUND,1
747,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
748,& _arg,[428],FOUND,10
749,simple_symbol,"[428, 808, 5002, 5442, 5815]",FOUND,6
754,),"[808, 5002, 5442, 5815, 3026, 3027, 3192, 4142]",FOUND,1
756,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3360, 4770, 4868]",FOUND,2
761,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
762,escape_sequence,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,5
764,string_content,"[5307, 5096]",FOUND,3
770,#{ _statements },"[5307, 5096, 5177]",FOUND,4
772,identifier,[357],FOUND,1
