Location,Ground_Truth,State_List,Coverage_Result,Rank
378,constant,"[1, 5883]",FOUND,3
383,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,3
384,identifier,[3136],FOUND,1
393,""" _literal_contents )","[1930, 11, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,6
394,string_content,"[1930, 11, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
406,),"[5084, 5307, 5096]",FOUND,2
408,do _terminator body_statement end,"[2259, 2544, 2721, 3165, 4482, 4641, 4442, 4515, 4770, 4861, 5593, 5883]",FOUND,4
413,identifier,"[2041, 179, 164]",FOUND,2
422,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,4
423,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656, 5084]",FOUND,3
436,),"[5084, 5307, 5096]",FOUND,2
438,do _terminator body_statement end,"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 4944, 5777, 5656]",FOUND,3
445,identifier,"[2041, 179, 164]",FOUND,2
448,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,4
449,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656, 5084]",FOUND,3
475,),"[5084, 5307, 5096]",FOUND,2
481,identifier,"[2041, 2053, 252, 4944, 5777, 5656, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
484,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,4
485,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656, 5084]",FOUND,3
532,),"[5084, 5307, 5096]",FOUND,2
538,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5656, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
541,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,4
542,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656, 5084]",FOUND,3
591,),"[5084, 5307, 5096]",FOUND,2
597,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5656, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
600,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,4
601,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656, 5084]",FOUND,3
650,),"[5084, 5307, 5096]",FOUND,2
654,end,"[2041, 2053, 257, 252, 4944, 5777, 5656, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,3
658,end,"[2041, 2053, 252, 4944, 5777, 5656, 4370, 4435, 4471, 4589, 4625]",FOUND,3
